hardware,embedding_index,horizon,method,time,result
toronto,8,3,bellman,0.009070,1
toronto,9,3,bellman,0.009180,1
toronto,10,3,bellman,0.009210,1
toronto,11,3,bellman,0.009190,1
toronto,12,3,bellman,0.010150,1
toronto,13,3,bellman,0.009570,1
toronto,14,3,bellman,0.010740,1
toronto,15,3,bellman,0.010430,1
toronto,16,3,bellman,0.010770,1
toronto,17,3,bellman,0.011150,1
toronto,18,3,bellman,0.011580,1
toronto,19,3,bellman,0.010740,1
toronto,20,3,bellman,0.010800,1
toronto,21,3,bellman,0.011800,1
toronto,22,3,bellman,0.011340,1
toronto,23,3,bellman,0.012220,1
toronto,24,3,bellman,0.012350,1
toronto,25,3,bellman,0.012870,1
toronto,26,3,bellman,0.013060,1
toronto,27,3,bellman,0.013290,1
toronto,28,3,bellman,0.013000,1
toronto,29,3,bellman,0.014180,1
toronto,30,3,bellman,0.013680,1
toronto,31,3,bellman,0.014310,1
toronto,32,3,bellman,0.014630,1
toronto,33,3,bellman,0.015290,1
toronto,34,3,bellman,0.015280,1
toronto,35,3,bellman,0.014920,1
toronto,36,3,bellman,0.015910,1
washington,0,3,bellman,0.006700,1
washington,1,3,bellman,0.008310,1
washington,2,3,bellman,0.011800,1
washington,3,3,bellman,0.007340,1
washington,4,3,bellman,0.007780,1
washington,5,3,bellman,0.007750,1
washington,6,3,bellman,0.009180,1
washington,7,3,bellman,0.008170,1
washington,8,3,bellman,0.009530,1
washington,9,3,bellman,0.013400,1
washington,10,3,bellman,0.008570,1
washington,11,3,bellman,0.009080,1
washington,12,3,bellman,0.011280,1
washington,13,3,bellman,0.013310,1
washington,14,3,bellman,0.010010,1
washington,15,3,bellman,0.010560,1
washington,16,3,bellman,0.010800,1
washington,17,3,bellman,0.011760,1
washington,18,3,bellman,0.011660,1
washington,19,3,bellman,0.013600,1
washington,20,3,bellman,0.012670,1
washington,21,3,bellman,0.013830,1
washington,22,3,bellman,0.014420,1
washington,23,3,bellman,0.015620,1
washington,24,3,bellman,0.015220,1
washington,25,3,bellman,0.016720,1
washington,26,3,bellman,0.016710,1
washington,27,3,bellman,0.013150,1
washington,28,3,bellman,0.013890,1
washington,29,3,bellman,0.016380,1
washington,30,3,bellman,0.014330,1
washington,31,3,bellman,0.015790,1
washington,32,3,bellman,0.019500,1
washington,33,3,bellman,0.014420,1
washington,34,3,bellman,0.014570,1
washington,35,3,bellman,0.015240,1
washington,36,3,bellman,0.017610,1
washington,37,3,bellman,0.015760,1
washington,38,3,bellman,0.017460,1
washington,39,3,bellman,0.020290,1
washington,40,3,bellman,0.015560,1
washington,41,3,bellman,0.016480,1
washington,42,3,bellman,0.016820,1
washington,43,3,bellman,0.017590,1
washington,44,3,bellman,0.017320,1
washington,45,3,bellman,0.018110,1
washington,46,3,bellman,0.020410,1
washington,47,3,bellman,0.017550,1
washington,48,3,bellman,0.017510,1
washington,49,3,bellman,0.018890,1
washington,50,3,bellman,0.021500,1
washington,51,3,bellman,0.020460,1
washington,52,3,bellman,0.020530,1
washington,53,3,bellman,0.021250,1
washington,54,3,bellman,0.021190,1
washington,55,3,bellman,0.023120,1
washington,56,3,bellman,0.022770,1
washington,57,3,bellman,0.024610,1
washington,58,3,bellman,0.020160,1
washington,59,3,bellman,0.023260,1
washington,60,3,bellman,0.025390,1
washington,61,3,bellman,0.020660,1
washington,62,3,bellman,0.021090,1
washington,63,3,bellman,0.021580,1
washington,64,3,bellman,0.023700,1
washington,65,3,bellman,0.021930,1
washington,66,3,bellman,0.024140,1
washington,67,3,bellman,0.025740,1
