,hardware,embedding_index,horizon,probability_opt,perfect_opt,hardware_scenario,diff
159,algiers,94,1,0.49724,0.49692,algiers_94,0.00032000000000004247
162,algiers,95,1,0.49724,0.49692,algiers_95,0.00032000000000004247
165,algiers,98,1,0.49848,0.49731,algiers_98,0.0011700000000000044
168,algiers,99,1,0.49848,0.49731,algiers_99,0.0011700000000000044
171,almaden,0,1,0.4958,0.49563,almaden_0,0.00017000000000000348
174,almaden,1,1,0.4958,0.49553,almaden_1,0.00026999999999999247
177,almaden,4,1,0.49436,0.49356,almaden_4,0.0008000000000000229
180,almaden,5,1,0.49436,0.49356,almaden_5,0.0008000000000000229
181,almaden,6,1,0.49424,0.49356,almaden_6,0.0006800000000000139
184,almaden,12,1,0.495,0.47507,almaden_12,0.019930000000000003
187,almaden,13,1,0.495,0.47507,almaden_13,0.019930000000000003
190,almaden,14,1,0.49544,0.49405,almaden_14,0.0013900000000000023
193,almaden,15,1,0.49544,0.49405,almaden_15,0.0013900000000000023
196,almaden,19,1,0.49436,0.49235,almaden_19,0.0020100000000000118
199,almaden,20,1,0.49436,0.4836,almaden_20,0.010760000000000047
200,almaden,21,1,0.49404,0.48912,almaden_21,0.00491999999999998
203,almaden,22,1,0.49404,0.49183,almaden_22,0.0022099999999999898
204,almaden,23,1,0.4958,0.49401,almaden_23,0.0017900000000000138
207,almaden,24,1,0.4958,0.49401,almaden_24,0.0017900000000000138
210,almaden,25,1,0.49552,0.48912,almaden_25,0.006400000000000017
213,almaden,26,1,0.49552,0.49356,almaden_26,0.0019600000000000173
214,almaden,27,1,0.49408,0.49356,almaden_27,0.0005200000000000204
217,almaden,28,1,0.49408,0.49356,almaden_28,0.0005200000000000204
218,almaden,29,1,0.49424,0.49356,almaden_29,0.0006800000000000139
223,almaden,32,1,0.49432,0.49409,almaden_32,0.00023000000000000798
224,almaden,33,1,0.49544,0.49409,almaden_33,0.0013500000000000179
227,almaden,34,1,0.49544,0.4945,almaden_34,0.0009399999999999964
230,almaden,36,1,0.49432,0.4836,almaden_36,0.010720000000000007
231,almaden,37,1,0.49632,0.47507,almaden_37,0.02124999999999999
234,almaden,38,1,0.49632,0.47507,almaden_38,0.02124999999999999
237,almaden,39,1,0.49556,0.47761,almaden_39,0.01795000000000002
240,almaden,40,1,0.49556,0.47761,almaden_40,0.01795000000000002
243,almaden,41,1,0.495,0.49498,almaden_41,2.0000000000020002e-05
246,almaden,42,1,0.495,0.49498,almaden_42,2.0000000000020002e-05
249,almaden,49,1,0.49452,0.49423,almaden_49,0.00029000000000001247
252,almaden,50,1,0.49452,0.49423,almaden_50,0.00029000000000001247
257,almaden,54,1,0.49632,0.49544,almaden_54,0.0008799999999999919
260,almaden,55,1,0.49632,0.4958,almaden_55,0.0005199999999999649
267,almaden,66,1,0.49556,0.49544,almaden_66,0.00012000000000000899
270,almaden,67,1,0.49556,0.49544,almaden_67,0.00012000000000000899
273,almaden,68,1,0.49236,0.49172,almaden_68,0.0006400000000000294
276,almaden,69,1,0.49236,0.49172,almaden_69,0.0006400000000000294
279,almaden,70,1,0.49452,0.49235,almaden_70,0.0021700000000000053
282,almaden,71,1,0.49452,0.49235,almaden_71,0.0021700000000000053
285,almaden,76,1,0.49564,0.47761,almaden_76,0.018030000000000046
286,almaden,77,1,0.494,0.47761,almaden_77,0.016390000000000016
289,almaden,79,1,0.49552,0.49438,almaden_79,0.0011400000000000299
292,almaden,80,1,0.49552,0.49423,almaden_80,0.0012900000000000134
295,athens,0,1,0.49396,0.49153,athens_0,0.0024299999999999877
298,athens,2,1,0.49736,0.49397,athens_2,0.003390000000000004
303,athens,5,1,0.49736,0.49735,athens_5,1.0000000000010001e-05
306,auckland,0,1,0.49756,0.49733,auckland_0,0.00023000000000000798
307,auckland,4,1,0.4968,0.49675,auckland_4,4.999999999999449e-05
310,auckland,5,1,0.4968,0.49675,auckland_5,4.999999999999449e-05
315,auckland,8,1,0.49728,0.49683,auckland_8,0.00045000000000000595
318,auckland,9,1,0.49816,0.49683,auckland_9,0.0013299999999999979
321,auckland,10,1,0.49816,0.49523,auckland_10,0.002929999999999988
