,experiment,horizon,#hard.,#emb.,#diff. algo.,#improv.,max. improv.,avg. build time,max. build time,avg. method time,max. method time
0,Bell state reach,3,45,136,9,142,0.11292,0.68453,3.21318,0.00147,0.59819
1,Bitflip [CXH],7,45,203,7,30,0.03193,6.69508,32.50928,2385.56405,2545.0
2,Bitflip [IPMA],7,45,141,22,14,0.04217,0.16098,0.91668,242.07173,989.0
3,Bitflip [IPMA2],8,45,141,34,44,0.0485,0.53908,3.20488,399.96917,2137.0
4,GHZ,3,45,1193,12,0,0.0,8.80895,33.1842,1.00082,3.0
5,Reset,9,55,109,35,460,0.27654,0.00274,0.99509,15.06199,100.0
