hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
johannesburg,0,7,6.417620,0.951530,bellman,2552.000000,0,0.000000
johannesburg,1,7,6.199890,0.937360,bellman,2532.000000,0,0.000000
johannesburg,2,7,7.047680,0.953320,bellman,2481.000000,0,0.000000
johannesburg,3,7,7.585450,0.954320,bellman,2566.000000,0,0.000000
rome,0,7,5.207120,0.982590,bellman,2432.000000,0,0.000000
rome,1,7,4.778130,0.982760,bellman,2519.000000,0,0.000000
rome,2,7,4.900930,0.971010,bellman,2458.000000,0,0.000000
rome,3,7,5.222450,0.976850,bellman,2483.000000,0,0.000000
rome,4,7,4.700760,0.971930,bellman,2488.000000,1,0.000000
rome,5,7,4.821460,0.979070,bellman,2430.000000,0,0.000000
