hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
boeblingen,0,7,5.623250,0.955320,bellman,2494.000000,0,0.000000
boeblingen,1,7,5.926240,0.964830,bellman,2509.000000,1,0.000000
boeblingen,2,7,6.253930,0.961670,bellman,2465.000000,1,0.000000
boeblingen,3,7,6.050180,0.967360,bellman,2368.000000,1,0.000000
bogota,0,7,4.556050,0.968400,bellman,2327.000000,1,0.000000
bogota,1,7,4.497140,0.975410,bellman,2364.000000,1,0.000000
bogota,2,7,4.925720,0.897950,bellman,2347.000000,0,0.000000
bogota,3,7,4.700160,0.938860,bellman,2318.000000,0,0.000000
bogota,4,7,5.129760,0.904920,bellman,2392.000000,2,0.000000
bogota,5,7,5.305310,0.936040,bellman,2383.000000,1,0.000000
