hardware,embedding_index,algorithm_index,probability,method
algiers,0,0,0.964330,bellman
algiers,0,1,0.497100,bellman
algiers,0,2,0.960240,bellman
algiers,0,3,0.964330,bellman
algiers,0,4,0.967230,bellman
algiers,0,5,0.964330,bellman
algiers,0,6,0.960240,bellman
algiers,1,0,0.975240,bellman
algiers,1,1,0.500380,bellman
algiers,1,2,0.960460,bellman
algiers,1,3,0.975240,bellman
algiers,1,4,0.974860,bellman
algiers,1,5,0.975240,bellman
algiers,1,6,0.960460,bellman
algiers,2,0,0.947720,bellman
algiers,2,1,0.498930,bellman
algiers,2,2,0.939440,bellman
algiers,2,3,0.947720,bellman
algiers,2,4,0.948790,bellman
algiers,2,5,0.947720,bellman
algiers,2,6,0.939440,bellman
algiers,3,0,0.959780,bellman
algiers,3,1,0.501200,bellman
algiers,3,2,0.939660,bellman
algiers,3,3,0.959780,bellman
algiers,3,4,0.958590,bellman
algiers,3,5,0.959780,bellman
algiers,3,6,0.939660,bellman
almaden,0,0,0.939020,bellman
almaden,0,1,0.510660,bellman
almaden,0,2,0.924680,bellman
almaden,0,3,0.939020,bellman
almaden,0,4,0.928360,bellman
almaden,0,5,0.939020,bellman
almaden,0,6,0.924680,bellman
almaden,1,0,0.924080,bellman
almaden,1,1,0.510300,bellman
almaden,1,2,0.896270,bellman
almaden,1,3,0.924080,bellman
almaden,1,4,0.913780,bellman
almaden,1,5,0.924080,bellman
almaden,1,6,0.896270,bellman
almaden,2,0,0.965890,bellman
almaden,2,1,0.515360,bellman
almaden,2,2,0.959010,bellman
almaden,2,3,0.965890,bellman
almaden,2,4,0.950520,bellman
almaden,2,5,0.965890,bellman
almaden,2,6,0.959010,bellman
almaden,3,0,0.971130,bellman
almaden,3,1,0.508430,bellman
almaden,3,2,0.959000,bellman
almaden,3,3,0.971130,bellman
almaden,3,4,0.962700,bellman
almaden,3,5,0.971130,bellman
almaden,3,6,0.959000,bellman
athens,0,0,0.979120,bellman
athens,0,1,0.501310,bellman
athens,0,2,0.974040,bellman
athens,0,3,0.979120,bellman
athens,0,4,0.977810,bellman
athens,0,5,0.979120,bellman
athens,0,6,0.974040,bellman
athens,1,0,0.981300,bellman
athens,1,1,0.509240,bellman
athens,1,2,0.974170,bellman
athens,1,3,0.981300,bellman
athens,1,4,0.972060,bellman
athens,1,5,0.981300,bellman
athens,1,6,0.974170,bellman
athens,2,0,0.959390,bellman
athens,2,1,0.499220,bellman
athens,2,2,0.954510,bellman
athens,2,3,0.959390,bellman
athens,2,4,0.960170,bellman
athens,2,5,0.959390,bellman
athens,2,6,0.954510,bellman
athens,3,0,0.971980,bellman
athens,3,1,0.503050,bellman
athens,3,2,0.955990,bellman
athens,3,3,0.971980,bellman
athens,3,4,0.968930,bellman
athens,3,5,0.971980,bellman
athens,3,6,0.955990,bellman
athens,4,0,0.953850,bellman
athens,4,1,0.503450,bellman
athens,4,2,0.942910,bellman
athens,4,3,0.953850,bellman
athens,4,4,0.950400,bellman
athens,4,5,0.953850,bellman
athens,4,6,0.942910,bellman
athens,5,0,0.958470,bellman
athens,5,1,0.504630,bellman
athens,5,2,0.942930,bellman
athens,5,3,0.958470,bellman
athens,5,4,0.953840,bellman
athens,5,5,0.958470,bellman
athens,5,6,0.942930,bellman
auckland,0,0,0.983340,bellman
auckland,0,1,0.500950,bellman
auckland,0,2,0.978590,bellman
auckland,0,3,0.983340,bellman
auckland,0,4,0.982390,bellman
auckland,0,5,0.983340,bellman
auckland,0,6,0.978590,bellman
auckland,1,0,0.983870,bellman
auckland,1,1,0.502730,bellman
auckland,1,2,0.978490,bellman
auckland,1,3,0.983870,bellman
auckland,1,4,0.981140,bellman
auckland,1,5,0.983870,bellman
auckland,1,6,0.978490,bellman
auckland,2,0,0.963520,bellman
auckland,2,1,0.497770,bellman
auckland,2,2,0.958520,bellman
auckland,2,3,0.963520,bellman
auckland,2,4,0.965760,bellman
auckland,2,5,0.963520,bellman
auckland,2,6,0.958520,bellman
auckland,3,0,0.973170,bellman
auckland,3,1,0.500290,bellman
auckland,3,2,0.958440,bellman
auckland,3,3,0.973170,bellman
auckland,3,4,0.972890,bellman
auckland,3,5,0.973170,bellman
auckland,3,6,0.958440,bellman
belem,0,0,0.973050,bellman
belem,0,1,0.511910,bellman
belem,0,2,0.966300,bellman
belem,0,3,0.973050,bellman
belem,0,4,0.961140,bellman
belem,0,5,0.973050,bellman
belem,0,6,0.966300,bellman
belem,1,0,0.969300,bellman
belem,1,1,0.511810,bellman
belem,1,2,0.958930,bellman
belem,1,3,0.969300,bellman
belem,1,4,0.957480,bellman
belem,1,5,0.969300,bellman
belem,1,6,0.958930,bellman
belem,2,0,0.970340,bellman
belem,2,1,0.505170,bellman
belem,2,2,0.961590,bellman
belem,2,3,0.970340,bellman
belem,2,4,0.965170,bellman
belem,2,5,0.970340,bellman
belem,2,6,0.961590,bellman
belem,3,0,0.970700,bellman
belem,3,1,0.510890,bellman
belem,3,2,0.961440,bellman
belem,3,3,0.970700,bellman
belem,3,4,0.959810,bellman
belem,3,5,0.970700,bellman
belem,3,6,0.961440,bellman
boeblingen,0,0,0.955320,bellman
boeblingen,0,1,0.521900,bellman
boeblingen,0,2,0.947590,bellman
boeblingen,0,3,0.955320,bellman
boeblingen,0,4,0.933420,bellman
boeblingen,0,5,0.955320,bellman
boeblingen,0,6,0.947590,bellman
boeblingen,1,0,0.964830,bellman
boeblingen,1,1,0.556650,bellman
boeblingen,1,2,0.948990,bellman
boeblingen,1,3,0.964830,bellman
