hardware,embedding_index,meas0_sucess,meas1_sucess
algiers,0,0.990500,0.990500
algiers,1,0.994800,0.994800
algiers,2,0.980400,0.980400
algiers,3,0.988200,0.988200
almaden,0,0.955000,0.955000
almaden,1,0.955000,0.955000
almaden,2,0.955000,0.955000
almaden,3,0.975000,0.975000
athens,0,0.989900,0.989900
athens,1,0.975700,0.975700
athens,2,0.984700,0.984700
athens,3,0.988300,0.988300
athens,4,0.975700,0.975700
athens,5,0.978100,0.978100
auckland,0,0.992500,0.992500
auckland,1,0.989500,0.989500
auckland,2,0.989100,0.989100
auckland,3,0.994000,0.994000
belem,0,0.966000,0.966000
belem,1,0.966000,0.966000
belem,2,0.979400,0.979400
belem,3,0.968000,0.968000
boeblingen,0,0.936500,0.936500
boeblingen,1,0.871700,0.871700
boeblingen,2,0.968600,0.968600
boeblingen,3,0.982200,0.982200
bogota,0,0.967800,0.967800
bogota,1,0.966100,0.966100
bogota,2,0.943400,0.943400
bogota,3,0.972900,0.972900
bogota,4,0.966100,0.966100
bogota,5,0.962300,0.962300
brooklyn,0,0.977300,0.977300
brooklyn,1,0.977300,0.977300
brooklyn,2,0.986200,0.986200
brooklyn,3,0.965700,0.965700
burlington,0,0.968000,0.968000
burlington,1,0.968000,0.968000
burlington,2,0.951500,0.951500
burlington,3,0.957000,0.957000
cairo,0,0.876500,0.876500
cairo,1,0.991700,0.991700
cairo,2,0.987900,0.987900
cairo,3,0.876500,0.876500
cambridge,0,0.830000,0.830000
cambridge,1,0.830000,0.830000
cambridge,2,0.973000,0.973000
cambridge,3,0.852000,0.852000
casablanca,0,0.982200,0.982200
casablanca,1,0.982200,0.982200
casablanca,2,0.982600,0.982600
casablanca,3,0.985600,0.985600
casablanca,4,0.984400,0.984400
casablanca,5,0.984400,0.984400
essex,0,0.963300,0.963300
essex,1,0.963300,0.963300
essex,2,0.963700,0.963700
essex,3,0.969300,0.969300
geneva,0,0.885500,0.885500
geneva,1,0.979500,0.979500
geneva,2,0.980500,0.980500
geneva,3,0.980500,0.980500
guadalupe,0,0.985600,0.985600
guadalupe,1,0.985600,0.985600
guadalupe,2,0.979100,0.979100
guadalupe,3,0.980900,0.980900
hanoi,0,0.991100,0.991100
hanoi,1,0.991100,0.991100
hanoi,2,0.984300,0.984300
hanoi,3,0.983000,0.983000
jakarta,0,0.974700,0.974700
jakarta,1,0.974700,0.974700
jakarta,2,0.979500,0.979500
jakarta,3,0.944500,0.944500
jakarta,4,0.974700,0.974700
