hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
oslo,0,3,0.107770,0.500000,bellman,1.000000,0,0.000000
oslo,0,4,0.107770,0.977760,bellman,8.000000,1,0.000000
oslo,0,5,0.107770,0.977770,bellman,38.000000,2,0.000000
oslo,0,6,0.107770,0.987270,bellman,172.000000,3,0.000000
oslo,0,7,0.107770,0.987270,bellman,751.000000,4,0.000000
oslo,1,3,0.117480,0.503000,bellman,1.000000,5,0.000000
oslo,1,4,0.117480,0.978310,bellman,8.000000,1,0.000000
oslo,1,5,0.117480,0.978310,bellman,38.000000,6,0.000000
oslo,1,6,0.117480,0.987780,bellman,172.000000,7,0.000000
oslo,1,7,0.117480,0.987780,bellman,748.000000,8,0.000000
oslo,2,3,0.105340,0.503000,bellman,1.000000,9,0.000000
oslo,2,4,0.105340,0.974900,bellman,8.000000,1,0.000000
oslo,2,5,0.105340,0.974900,bellman,38.000000,2,0.000000
oslo,2,6,0.105340,0.988910,bellman,170.000000,3,0.000000
oslo,2,7,0.105340,0.988910,bellman,751.000000,4,0.000000
oslo,3,3,0.091730,0.500000,bellman,1.000000,10,0.000000
oslo,3,4,0.091730,0.974330,bellman,8.000000,1,0.000000
oslo,3,5,0.091730,0.974330,bellman,38.000000,6,0.000000
oslo,3,6,0.091730,0.987480,bellman,172.000000,7,0.000000
oslo,3,7,0.091730,0.987480,bellman,749.000000,8,0.000000
oslo,4,3,0.095760,0.503000,bellman,1.000000,11,0.000000
oslo,4,4,0.095760,0.973910,bellman,8.000000,1,0.000000
oslo,4,5,0.095760,0.973920,bellman,39.000000,2,0.000000
oslo,4,6,0.095760,0.987000,bellman,172.000000,3,0.000000
oslo,4,7,0.095760,0.987000,bellman,747.000000,4,0.000000
paris,0,3,0.200440,0.500000,bellman,1.000000,10,0.000000
paris,0,4,0.200440,0.973450,bellman,8.000000,1,0.000000
paris,0,5,0.200440,0.973450,bellman,39.000000,6,0.000000
paris,0,6,0.200440,0.981910,bellman,171.000000,7,0.000000
paris,0,7,0.200440,0.981910,bellman,749.000000,8,0.000000
paris,1,3,0.196380,0.500000,bellman,1.000000,0,0.000000
paris,1,4,0.196380,0.972960,bellman,8.000000,1,0.000000
paris,1,5,0.196380,0.972970,bellman,38.000000,2,0.000000
paris,1,6,0.196380,0.981420,bellman,171.000000,3,0.000000
paris,1,7,0.196380,0.981420,bellman,751.000000,4,0.000000
paris,2,3,0.126470,0.500000,bellman,1.000000,0,0.000000
paris,2,4,0.126470,0.777090,bellman,8.000000,1,0.000000
paris,2,5,0.126470,0.777170,bellman,39.000000,2,0.000000
paris,2,6,0.126470,0.869930,bellman,172.000000,3,0.000000
paris,2,7,0.126470,0.869970,bellman,751.000000,4,0.000000
