hardware,embedding_index,algorithm_index,probability,method
ourense,0,1,0.984660,bellman
ourense,1,1,0.945220,bellman
paris,0,1,0.992940,bellman
paris,1,1,0.788780,bellman
perth,0,1,0.980310,bellman
perth,1,1,0.956660,bellman
poughkeepsie,0,1,0.978310,bellman
poughkeepsie,1,1,0.822210,bellman
prague,0,1,0.992670,bellman
prague,1,1,0.896790,bellman
quito,0,1,0.976890,bellman
quito,1,1,0.888280,bellman
rochester,0,1,0.989200,bellman
rochester,1,1,0.596880,bellman
rome,0,1,0.978450,bellman
rome,1,1,0.969690,bellman
santiago,0,1,0.990310,bellman
santiago,1,1,0.981880,bellman
singapore,0,1,0.982680,bellman
singapore,1,1,0.911640,bellman
sydney,0,1,0.990600,bellman
sydney,1,1,0.881460,bellman
torino,0,1,0.994750,bellman
torino,1,1,0.810040,bellman
toronto,0,1,0.992070,bellman
toronto,1,1,0.725250,bellman
valencia,0,1,0.976450,bellman
valencia,1,1,0.945530,bellman
vigo,0,1,0.985200,bellman
vigo,1,1,0.924730,bellman
washington,0,1,0.997070,bellman
washington,1,1,0.677120,bellman
yorktown,0,1,0.972110,bellman
yorktown,1,1,0.707030,bellman
perfect_hardware,0,1,1.000000,bellman
algiers,0,2,0.999600,bellman
algiers,1,2,0.989840,bellman
almaden,0,2,0.998010,bellman
almaden,1,2,0.864640,bellman
athens,0,2,0.999140,bellman
athens,1,2,0.997810,bellman
auckland,0,2,0.999530,bellman
auckland,1,2,0.998280,bellman
belem,0,2,0.998260,bellman
belem,1,2,0.994670,bellman
boeblingen,0,2,0.998750,bellman
boeblingen,1,2,0.901250,bellman
bogota,0,2,0.997550,bellman
bogota,1,2,0.989350,bellman
brisbane,0,2,0.999650,bellman
brisbane,1,2,0.737140,bellman
brooklyn,0,2,0.999120,bellman
brooklyn,1,2,0.972080,bellman
burlington,0,2,0.997320,bellman
burlington,1,2,0.991520,bellman
cairo,0,2,0.999520,bellman
cairo,1,2,0.931830,bellman
cambridge,0,2,0.997820,bellman
cambridge,1,2,0.661310,bellman
casablanca,0,2,0.998060,bellman
casablanca,1,2,0.996220,bellman
cusco,0,2,0.999590,bellman
cusco,1,2,0.632890,bellman
essex,0,2,0.994970,bellman
essex,1,2,0.988450,bellman
fez,0,2,0.999470,bellman
fez,1,2,0.975200,bellman
geneva,0,2,0.998410,bellman
geneva,1,2,0.945240,bellman
guadalupe,0,2,0.999300,bellman
guadalupe,1,2,0.988910,bellman
hanoi,0,2,0.999590,bellman
hanoi,1,2,0.981180,bellman
jakarta,0,2,0.998820,bellman
jakarta,1,2,0.990720,bellman
johannesburg,0,2,0.996260,bellman
johannesburg,1,2,0.919000,bellman
kawasaki,0,2,0.999710,bellman
kawasaki,1,2,0.713750,bellman
kolkata,0,2,0.999730,bellman
kolkata,1,2,0.991110,bellman
kyiv,0,2,0.999810,bellman
kyiv,1,2,0.748560,bellman
kyoto,0,2,0.999750,bellman
kyoto,1,2,0.618060,bellman
lagos,0,2,0.998740,bellman
lagos,1,2,0.554170,bellman
lima,0,2,0.998920,bellman
lima,1,2,0.989530,bellman
london,0,2,0.997930,bellman
london,1,2,0.926470,bellman
makarresh,0,2,0.999390,bellman
makarresh,1,2,0.002420,bellman
melbourne,0,2,0.997330,bellman
melbourne,1,2,0.906820,bellman
manhattan,0,2,0.999390,bellman
manhattan,1,2,0.642390,bellman
manila,0,2,0.999070,bellman
manila,1,2,0.972960,bellman
montreal,0,2,0.999610,bellman
montreal,1,2,0.973460,bellman
mumbai,0,2,0.999170,bellman
mumbai,1,2,0.971120,bellman
nairobi,0,2,0.998230,bellman
nairobi,1,2,0.989750,bellman
osaka,0,2,0.999760,bellman
osaka,1,2,0.581870,bellman
oslo,0,2,0.999440,bellman
oslo,1,2,0.997100,bellman
ourense,0,2,0.998870,bellman
ourense,1,2,0.990840,bellman
paris,0,2,0.999370,bellman
paris,1,2,0.884730,bellman
perth,0,2,0.998290,bellman
perth,1,2,0.993840,bellman
poughkeepsie,0,2,0.996600,bellman
poughkeepsie,1,2,0.904970,bellman
prague,0,2,0.999730,bellman
prague,1,2,0.969420,bellman
quito,0,2,0.995200,bellman
quito,1,2,0.963730,bellman
rochester,0,2,0.997310,bellman
rochester,1,2,0.642230,bellman
rome,0,2,0.998190,bellman
rome,1,2,0.996990,bellman
santiago,0,2,0.999460,bellman
santiago,1,2,0.998660,bellman
singapore,0,2,0.998170,bellman
singapore,1,2,0.976980,bellman
sydney,0,2,0.999450,bellman
sydney,1,2,0.960810,bellman
torino,0,2,0.999470,bellman
torino,1,2,0.904590,bellman
toronto,0,2,0.999430,bellman
toronto,1,2,0.814460,bellman
valencia,0,2,0.997920,bellman
valencia,1,2,0.990680,bellman
vigo,0,2,0.998780,bellman
vigo,1,2,0.983380,bellman
washington,0,2,0.999590,bellman
washington,1,2,0.754400,bellman
yorktown,0,2,0.997170,bellman
yorktown,1,2,0.791350,bellman
perfect_hardware,0,2,1.000000,bellman
algiers,0,3,0.999600,bellman
algiers,1,3,0.989840,bellman
almaden,0,3,0.998010,bellman
almaden,1,3,0.864640,bellman
athens,0,3,0.999140,bellman
