hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
brisbane,0,bellman,5,3,156,0.825360,0.805310,0.020050
brisbane,0,bellman,6,4,157,0.862480,0.849860,0.012620
brisbane,0,bellman,7,5,158,0.878770,0.849860,0.028910
brisbane,1,bellman,2,0,152,0.994270,0.994270,-0.000000
brisbane,1,bellman,3,1,154,0.994270,0.994270,-0.000000
brisbane,1,bellman,4,2,155,0.999790,0.999790,-0.000000
brisbane,1,bellman,5,3,156,0.999900,0.999790,0.000110
brisbane,1,bellman,6,4,157,0.999980,0.999880,0.000100
brisbane,1,bellman,7,5,158,1.000000,0.999880,0.000120
brooklyn,0,bellman,2,0,152,0.987360,0.987360,-0.000000
brooklyn,0,bellman,3,1,154,0.987360,0.987360,-0.000000
brooklyn,0,bellman,4,2,155,0.999400,0.999400,0.000000
brooklyn,0,bellman,5,3,156,0.999530,0.999400,0.000130
brooklyn,0,bellman,6,4,157,0.999900,0.999840,0.000060
brooklyn,0,bellman,7,5,158,0.999980,0.999840,0.000140
brooklyn,1,bellman,2,0,152,0.911100,0.911100,0.000000
brooklyn,1,bellman,3,1,154,0.911100,0.911100,0.000000
brooklyn,1,bellman,4,2,155,0.976270,0.976270,0.000000
brooklyn,1,bellman,5,3,156,0.978030,0.976270,0.001760
brooklyn,1,bellman,6,6,157,0.991770,0.991770,0.000000
brooklyn,1,bellman,7,5,158,0.993920,0.991770,0.002150
burlington,0,bellman,2,0,152,0.975200,0.975200,-0.000000
burlington,0,bellman,3,1,154,0.975200,0.975200,-0.000000
burlington,0,bellman,4,2,155,0.997920,0.997920,0.000000
burlington,0,bellman,5,3,156,0.998200,0.997920,0.000280
burlington,0,bellman,6,4,157,0.999560,0.999550,0.000010
burlington,0,bellman,7,5,158,0.999850,0.999550,0.000300
burlington,1,bellman,2,0,152,0.950970,0.950970,0.000000
burlington,1,bellman,3,1,154,0.950970,0.950970,0.000000
burlington,1,bellman,4,2,155,0.992590,0.992590,0.000000
burlington,1,bellman,5,3,156,0.993070,0.992590,0.000480
burlington,1,bellman,6,6,157,0.998350,0.998350,0.000000
burlington,1,bellman,7,5,158,0.998900,0.998350,0.000550
cairo,0,bellman,2,0,152,0.994770,0.994770,0.000000
cairo,0,bellman,3,1,154,0.994770,0.994770,0.000000
cairo,0,bellman,4,2,155,0.999790,0.999790,0.000000
cairo,0,bellman,5,3,156,0.999920,0.999790,0.000130
cairo,0,bellman,6,4,157,0.999980,0.999870,0.000110
cairo,0,bellman,7,5,158,1.000000,0.999870,0.000130
cairo,1,bellman,2,0,152,0.848320,0.848320,-0.000000
cairo,1,bellman,3,1,154,0.848320,0.848320,-0.000000
cairo,1,bellman,4,2,155,0.936750,0.936750,-0.000000
cairo,1,bellman,5,3,156,0.938590,0.936750,0.001840
cairo,1,bellman,6,6,157,0.970430,0.970430,0.000000
