hardware,embedding_index,horizon,method,time,result
algiers,0,2,bellman,0.027920,1
algiers,0,3,bellman,0.002700,1
algiers,0,4,bellman,0.003480,1
algiers,0,5,bellman,0.004770,1
algiers,0,6,bellman,0.011040,1
algiers,0,7,bellman,0.017030,1
algiers,1,2,bellman,0.001670,1
algiers,1,3,bellman,0.002050,1
algiers,1,4,bellman,0.004320,1
algiers,1,5,bellman,0.006270,1
algiers,1,6,bellman,0.015020,1
algiers,1,7,bellman,0.021610,1
almaden,0,2,bellman,0.001430,1
almaden,0,3,bellman,0.001610,1
almaden,0,4,bellman,0.003480,1
almaden,0,5,bellman,0.004930,1
almaden,0,6,bellman,0.011260,1
almaden,0,7,bellman,0.017130,1
almaden,1,2,bellman,0.001440,1
almaden,1,3,bellman,0.001620,1
almaden,1,4,bellman,0.003460,1
almaden,1,5,bellman,0.004950,1
almaden,1,6,bellman,0.012290,1
almaden,1,7,bellman,0.017690,1
athens,0,2,bellman,0.001220,1
athens,0,3,bellman,0.001410,1
athens,0,4,bellman,0.003500,1
athens,0,5,bellman,0.004430,1
athens,0,6,bellman,0.010150,1
athens,0,7,bellman,0.015740,1
athens,1,2,bellman,0.001290,1
athens,1,3,bellman,0.001470,1
athens,1,4,bellman,0.003200,1
athens,1,5,bellman,0.004650,1
athens,1,6,bellman,0.011310,1
athens,1,7,bellman,0.016140,1
auckland,0,2,bellman,0.001460,1
auckland,0,3,bellman,0.001700,1
auckland,0,4,bellman,0.003620,1
auckland,0,5,bellman,0.005260,1
auckland,0,6,bellman,0.012200,1
auckland,0,7,bellman,0.017970,1
auckland,1,2,bellman,0.001600,1
auckland,1,3,bellman,0.002000,1
auckland,1,4,bellman,0.004160,1
auckland,1,5,bellman,0.006140,1
auckland,1,6,bellman,0.013730,1
auckland,1,7,bellman,0.020620,1
belem,0,2,bellman,0.001270,1
belem,0,3,bellman,0.001390,1
belem,0,4,bellman,0.003100,1
belem,0,5,bellman,0.004400,1
belem,0,6,bellman,0.010960,1
belem,0,7,bellman,0.015700,1
belem,1,2,bellman,0.001270,1
belem,1,3,bellman,0.001470,1
belem,1,4,bellman,0.003260,1
belem,1,5,bellman,0.004700,1
belem,1,6,bellman,0.011560,1
belem,1,7,bellman,0.016790,1
boeblingen,0,2,bellman,0.001480,1
boeblingen,0,3,bellman,0.001780,1
boeblingen,0,4,bellman,0.003830,1
boeblingen,0,5,bellman,0.005680,1
boeblingen,0,6,bellman,0.012700,1
boeblingen,0,7,bellman,0.019350,1
boeblingen,1,2,bellman,0.001480,1
boeblingen,1,3,bellman,0.001850,1
boeblingen,1,4,bellman,0.004010,1
boeblingen,1,5,bellman,0.005760,1
boeblingen,1,6,bellman,0.013960,1
boeblingen,1,7,bellman,0.020150,1
bogota,0,2,bellman,0.001220,1
bogota,0,3,bellman,0.001400,1
