hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
melbourne,0,3,0.534410,0.946070,bellman,1.000000,0,0.000000
melbourne,0,4,0.534410,0.946070,bellman,4.000000,1,0.000000
melbourne,0,5,0.534410,0.969080,bellman,21.000000,2,0.000000
melbourne,0,6,0.534410,0.969080,bellman,89.000000,3,0.000000
melbourne,0,7,0.534410,0.970860,bellman,373.000000,4,0.000000
melbourne,1,3,0.484180,0.779730,bellman,1.000000,0,0.000000
melbourne,1,4,0.484180,0.779730,bellman,4.000000,5,0.000000
melbourne,1,5,0.484180,0.864650,bellman,21.000000,2,0.000000
melbourne,1,6,0.484180,0.864650,bellman,89.000000,6,0.000000
melbourne,1,7,0.484180,0.903310,bellman,372.000000,4,0.000000
rochester,0,3,0.805670,0.949760,bellman,1.000000,0,0.000000
rochester,0,4,0.805670,0.949770,bellman,4.000000,5,0.000000
rochester,0,5,0.805670,0.958670,bellman,21.000000,2,0.000000
rochester,0,6,0.805670,0.958670,bellman,89.000000,6,0.000000
rochester,0,7,0.805670,0.958930,bellman,373.000000,4,0.000000
rochester,1,3,1.176290,0.586630,bellman,1.000000,0,0.000000
rochester,1,4,1.176290,0.586630,bellman,4.000000,5,0.000000
rochester,1,5,1.176290,0.628290,bellman,21.000000,2,0.000000
rochester,1,6,1.176290,0.628290,bellman,89.000000,6,0.000000
rochester,1,7,1.176290,0.658360,bellman,374.000000,4,0.000000
vigo,0,3,0.371800,0.967250,bellman,1.000000,0,0.000000
vigo,0,4,0.371800,0.967250,bellman,4.000000,7,0.000000
vigo,0,5,0.371800,0.987800,bellman,21.000000,2,0.000000
vigo,0,6,0.371800,0.987800,bellman,89.000000,8,0.000000
vigo,0,7,0.371800,0.989160,bellman,372.000000,4,0.000000
vigo,1,3,0.362550,0.963840,bellman,1.000000,0,0.000000
vigo,1,4,0.362550,0.963840,bellman,5.000000,5,0.000000
vigo,1,5,0.362550,0.984240,bellman,21.000000,2,0.000000
vigo,1,6,0.362550,0.984240,bellman,89.000000,6,0.000000
vigo,1,7,0.362550,0.985590,bellman,369.000000,4,0.000000
vigo,2,3,0.379010,0.967780,bellman,1.000000,0,0.000000
vigo,2,4,0.379010,0.967780,bellman,4.000000,7,0.000000
vigo,2,5,0.379010,0.987460,bellman,20.000000,2,0.000000
vigo,2,6,0.379010,0.987460,bellman,88.000000,8,0.000000
vigo,2,7,0.379010,0.988700,bellman,366.000000,4,0.000000
