hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
cairo,0,3,0.198750,0.500000,bellman,2.000000,0,0.000000
cairo,0,4,0.198750,0.979960,bellman,12.000000,1,0.000000
cairo,0,5,0.198750,0.979960,bellman,55.000000,2,0.000000
cairo,0,6,0.198750,0.993120,bellman,244.000000,3,0.000000
cairo,0,7,0.198750,0.993120,bellman,1015.000000,4,0.000000
cairo,1,3,0.213410,0.500000,bellman,2.000000,5,0.000000
cairo,1,4,0.213410,0.823270,bellman,11.000000,1,0.000000
cairo,1,5,0.213410,0.823270,bellman,51.000000,2,0.000000
cairo,1,6,0.213410,0.905350,bellman,225.000000,3,0.000000
cairo,1,7,0.213410,0.905350,bellman,982.000000,4,0.000000
casablanca,0,3,0.124990,0.500000,bellman,2.000000,0,0.000000
casablanca,0,4,0.124990,0.968750,bellman,11.000000,1,0.000000
casablanca,0,5,0.124990,0.968760,bellman,51.000000,2,0.000000
casablanca,0,6,0.124990,0.984780,bellman,225.000000,3,0.000000
casablanca,0,7,0.124990,0.984780,bellman,983.000000,4,0.000000
casablanca,1,3,0.119880,0.500000,bellman,2.000000,6,0.000000
casablanca,1,4,0.119880,0.965940,bellman,11.000000,1,0.000000
casablanca,1,5,0.119880,0.965940,bellman,51.000000,7,0.000000
casablanca,1,6,0.119880,0.981870,bellman,225.000000,3,0.000000
casablanca,1,7,0.119880,0.981870,bellman,982.000000,8,0.000000
casablanca,2,3,0.116750,0.500000,bellman,2.000000,0,0.000000
casablanca,2,4,0.116750,0.971070,bellman,11.000000,1,0.000000
casablanca,2,5,0.116750,0.971070,bellman,50.000000,2,0.000000
casablanca,2,6,0.116750,0.985530,bellman,225.000000,3,0.000000
casablanca,2,7,0.116750,0.985530,bellman,982.000000,4,0.000000
casablanca,3,3,0.108080,0.500000,bellman,2.000000,5,0.000000
casablanca,3,4,0.108080,0.970230,bellman,11.000000,1,0.000000
casablanca,3,5,0.108080,0.970230,bellman,51.000000,2,0.000000
casablanca,3,6,0.108080,0.983580,bellman,225.000000,3,0.000000
casablanca,3,7,0.108080,0.983580,bellman,981.000000,4,0.000000
casablanca,4,3,0.101110,0.500000,bellman,2.000000,0,0.000000
casablanca,4,4,0.101110,0.963330,bellman,11.000000,1,0.000000
casablanca,4,5,0.101110,0.963330,bellman,50.000000,2,0.000000
casablanca,4,6,0.101110,0.976480,bellman,225.000000,3,0.000000
casablanca,4,7,0.101110,0.976480,bellman,979.000000,4,0.000000
