hardware,embedding_index,method,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
algiers,83,bellman,2,2,0.939510,0.939510,0.000000
algiers,83,convex,3,2,0.939500,0.939510,-0.000000
algiers,83,bellman,4,18,0.949920,0.929100,0.020820
algiers,83,convex,3,18,0.939500,0.929100,0.010410
algiers,84,bellman,0,0,0.585200,0.585200,0.000000
algiers,84,convex,1,1,0.487670,0.487670,0.000000
algiers,84,bellman,2,2,0.970650,0.970650,0.000000
algiers,84,convex,3,2,0.970650,0.970650,-0.000000
algiers,84,bellman,4,18,0.971580,0.969720,0.001860
algiers,84,convex,3,18,0.970650,0.969720,0.000930
algiers,85,bellman,0,0,0.585200,0.585200,0.000000
algiers,85,convex,1,1,0.487670,0.487670,0.000000
algiers,85,bellman,2,2,0.921300,0.921300,0.000000
algiers,85,convex,3,2,0.921300,0.921300,-0.000000
algiers,85,bellman,4,18,0.931510,0.911090,0.020420
algiers,85,convex,3,18,0.921300,0.911090,0.010210
algiers,86,bellman,0,0,0.596300,0.596300,0.000000
algiers,86,convex,1,1,0.496920,0.496920,0.000000
algiers,86,bellman,2,2,0.989070,0.989070,0.000000
algiers,86,convex,3,2,0.989060,0.989070,-0.000000
algiers,86,bellman,4,18,0.990020,0.988120,0.001900
algiers,86,convex,3,18,0.989060,0.988120,0.000950
algiers,87,bellman,0,0,0.596300,0.596300,0.000000
algiers,87,convex,1,1,0.496920,0.496920,0.000000
algiers,87,bellman,2,2,0.938780,0.938780,0.000000
algiers,87,convex,3,2,0.938770,0.938780,-0.000000
algiers,87,bellman,4,18,0.949180,0.928380,0.020800
algiers,87,convex,3,18,0.938770,0.928380,0.010400
algiers,88,bellman,0,0,0.596770,0.596770,0.000000
algiers,88,convex,1,1,0.497310,0.497310,0.000000
algiers,88,bellman,2,2,0.989840,0.989840,0.000000
algiers,88,convex,3,2,0.989840,0.989840,-0.000000
algiers,88,bellman,4,18,0.990790,0.988890,0.001900
algiers,88,convex,3,18,0.989840,0.988890,0.000950
algiers,89,bellman,0,0,0.596770,0.596770,0.000000
algiers,89,convex,1,1,0.497310,0.497310,0.000000
algiers,89,bellman,2,2,0.939510,0.939510,0.000000
algiers,89,convex,3,2,0.939510,0.939510,-0.000000
algiers,89,bellman,4,18,0.949920,0.929100,0.020820
algiers,89,convex,3,18,0.939510,0.929100,0.010410
algiers,90,bellman,0,0,0.596940,0.596940,0.000000
algiers,90,convex,1,1,0.497440,0.497440,0.000000
algiers,90,bellman,2,2,0.990120,0.990120,0.000000
algiers,90,convex,3,2,0.990110,0.990120,-0.000000
algiers,90,bellman,4,18,0.991070,0.989160,0.001900
algiers,90,convex,3,18,0.990110,0.989160,0.000950
algiers,91,bellman,0,0,0.596940,0.596940,0.000000
algiers,91,convex,1,1,0.497440,0.497440,0.000000
algiers,91,bellman,2,2,0.939770,0.939770,0.000000
algiers,91,convex,3,2,0.939770,0.939770,-0.000000
algiers,91,bellman,4,18,0.950190,0.929360,0.020830
algiers,91,convex,3,18,0.939770,0.929360,0.010410
algiers,92,bellman,0,0,0.596300,0.596300,0.000000
algiers,92,convex,1,1,0.496920,0.496920,0.000000
algiers,92,bellman,2,2,0.989070,0.989070,0.000000
algiers,92,convex,3,2,0.989060,0.989070,-0.000000
algiers,92,bellman,4,18,0.990020,0.988120,0.001900
algiers,92,convex,3,18,0.989060,0.988120,0.000950
algiers,93,bellman,0,0,0.596300,0.596300,0.000000
algiers,93,convex,1,1,0.496920,0.496920,0.000000
algiers,93,bellman,2,2,0.938780,0.938780,0.000000
algiers,93,convex,3,2,0.938780,0.938780,-0.000000
algiers,93,bellman,4,18,0.949180,0.928380,0.020800
algiers,93,convex,3,18,0.938780,0.928380,0.010400
algiers,94,bellman,0,0,0.597640,0.597640,0.000000
algiers,94,convex,1,1,0.498030,0.498030,0.000000
algiers,94,bellman,2,2,0.991280,0.991280,0.000000
algiers,94,convex,3,2,0.991280,0.991280,0.000000
algiers,94,bellman,4,18,0.992230,0.990330,0.001900
algiers,94,convex,3,18,0.991280,0.990330,0.000950
algiers,95,bellman,0,0,0.597640,0.597640,0.000000
algiers,95,convex,1,1,0.498030,0.498030,0.000000
algiers,95,bellman,2,2,0.940880,0.940880,0.000000
algiers,9
