hardware,embedding_index,horizon,method,time,result
brooklyn,2,2,convex,0.018070,1
brooklyn,2,3,bellman,0.021180,1
brooklyn,2,3,convex,0.018370,1
brooklyn,3,1,bellman,0.008390,1
brooklyn,3,1,convex,0.026260,1
brooklyn,3,2,bellman,0.017200,1
brooklyn,3,2,convex,0.022750,1
brooklyn,3,3,bellman,0.026590,1
brooklyn,3,3,convex,0.022490,1
burlington,0,1,bellman,0.004330,1
burlington,0,1,convex,0.014870,1
burlington,0,2,bellman,0.008470,1
burlington,0,2,convex,0.011250,1
burlington,0,3,bellman,0.013100,1
burlington,0,3,convex,0.011170,1
cairo,0,1,bellman,0.006080,1
cairo,0,1,convex,0.022320,1
cairo,0,2,bellman,0.013720,1
cairo,0,2,convex,0.018890,1
cairo,0,3,bellman,0.020580,1
cairo,0,3,convex,0.069360,1
cairo,1,1,bellman,0.007160,1
cairo,1,1,convex,0.024810,1
cairo,1,2,bellman,0.015660,1
cairo,1,2,convex,0.021420,1
cairo,1,3,bellman,0.024120,1
cairo,1,3,convex,0.021560,1
cairo,2,1,bellman,0.007420,1
cairo,2,1,convex,0.026520,1
cairo,2,2,bellman,0.016920,1
cairo,2,2,convex,0.023290,1
cairo,2,3,bellman,0.025450,1
cairo,2,3,convex,0.023260,1
cambridge,0,1,bellman,0.008720,1
cambridge,0,1,convex,0.028360,1
cambridge,0,2,bellman,0.018140,1
cambridge,0,2,convex,0.025260,1
cambridge,0,3,bellman,0.027640,1
cambridge,0,3,convex,0.025340,1
cambridge,1,1,bellman,0.009250,1
cambridge,1,1,convex,0.029560,1
cambridge,1,2,bellman,0.018650,1
cambridge,1,2,convex,0.025680,1
cambridge,1,3,bellman,0.027920,1
cambridge,1,3,convex,0.025860,1
cambridge,2,1,bellman,0.007190,1
cambridge,2,1,convex,0.023120,1
cambridge,2,2,bellman,0.014550,1
cambridge,2,2,convex,0.019550,1
cambridge,2,3,bellman,0.062720,1
cambridge,2,3,convex,0.210560,1
cambridge,3,1,bellman,0.007870,1
cambridge,3,1,convex,0.024090,1
cambridge,3,2,bellman,0.030480,1
cambridge,3,2,convex,0.020850,1
cambridge,3,3,bellman,0.044770,1
cambridge,3,3,convex,0.120530,1
casablanca,0,1,bellman,0.004870,1
casablanca,0,1,convex,0.017560,1
casablanca,0,2,bellman,0.010240,1
casablanca,0,2,convex,0.013860,1
casablanca,0,3,bellman,0.016270,1
casablanca,0,3,convex,0.013770,1
casablanca,1,1,bellman,0.004520,1
casablanca,1,1,convex,0.016750,1
casablanca,1,2,bellman,0.010170,1
casablanca,1,2,convex,0.013210,1
casablanca,1,3,bellman,0.015290,1
casablanca,1,3,convex,0.013310,1
essex,0,1,bellman,0.003840,1
essex,0,1,convex,0.014830,1
essex,0,2,bellman,0.008380,1
essex,0,2,convex,0.011420,1
essex,0,3,bellman,0.012980,1
essex,0,3,convex,0.011340,1
essex,1,1,bellman,0.004200,1
essex,1,1,convex,0.016020,1
