algorithm_index,min_success0,avg_success0,max_success0,min_success1,avg_success1,max_success1,min_meas_succ,avg_meas_succ,max_meas_succ,min_diff_meas,avg_diff_meas,max_diff_meas,min_abs_diff_meas,avg_abs_diff_meas,max_abs_diff_meas,min_succ_1Q,avg_succ_1Q,max_succ_1Q,min_succ_2Q,avg_succ_2Q,max_succ_2Q,num_hardwares
0,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.5362,0.9217198455882362,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952507731092445,1.0,0.0,0.9199112647058821,0.995453,136
2,0.61,0.9401852635658924,1.0,0.61,0.9401852635658924,1.0,0.61,0.9401852635658924,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950515947136573,1.0,0.0,0.9278116821705424,0.995453,129
4,0.5963,0.933336658333334,0.9972,0.5963,0.933336658333334,0.9972,0.5963,0.933336658333334,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.989691,0.999524725118484,1.0,0.809911,0.9721206749999997,0.995453,120
5,0.9157,0.9777888888888889,0.9972,0.9157,0.9777888888888889,0.9972,0.9157,0.9777888888888889,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.99078,0.9989732499999999,1.0,0.5,0.5,0.5,9
9,0.5963,0.6012666666666667,0.61,0.5963,0.6012666666666667,0.61,0.5963,0.6012666666666667,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.998529,0.9991252500000001,1.0,0.5,0.5,0.5,3
10,0.5963,0.6202500000000001,0.6772,0.5963,0.6202500000000001,0.6772,0.5963,0.6202500000000001,0.6772,0.0,0.0,0.0,0.0,0.0,0.0,0.99078,0.9978801666666667,1.0,0.5,0.5,0.5,4
12,0.5362,0.56655,0.5975,0.5362,0.56655,0.5975,0.5362,0.56655,0.5975,0.0,0.0,0.0,0.0,0.0,0.0,0.997773,0.999495857142857,1.0,0.963778,0.98005625,0.990682,4
13,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.5362,0.0,0.0,0.0,0.0,0.0,0.0,0.999556,0.9997785,1.0,0.963778,0.9767255,0.989673,2
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
