hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
kolkata,0,3,0.284030,0.500000,bellman,2.000000,0,0.000000
kolkata,0,4,0.284030,0.986120,bellman,10.000000,1,0.000000
kolkata,0,5,0.284030,0.986120,bellman,48.000000,2,0.000000
kolkata,0,6,0.284030,0.990960,bellman,213.000000,3,0.000000
kolkata,0,7,0.284030,0.990960,bellman,931.000000,4,0.000000
kolkata,1,3,0.284350,0.503000,bellman,2.000000,5,0.000000
kolkata,1,4,0.284350,0.985170,bellman,10.000000,1,0.000000
kolkata,1,5,0.284350,0.985170,bellman,48.000000,2,0.000000
kolkata,1,6,0.284350,0.989980,bellman,213.000000,3,0.000000
kolkata,1,7,0.284350,0.989980,bellman,931.000000,4,0.000000
kolkata,2,3,0.193690,0.502000,bellman,2.000000,5,0.000000
kolkata,2,4,0.193690,0.896660,bellman,10.000000,1,0.000000
kolkata,2,5,0.193690,0.896660,bellman,48.000000,2,0.000000
kolkata,2,6,0.193690,0.931520,bellman,213.000000,3,0.000000
kolkata,2,7,0.193690,0.931520,bellman,908.000000,4,0.000000
quito,0,3,0.121840,0.501500,bellman,2.000000,0,0.000000
quito,0,4,0.121840,0.902180,bellman,11.000000,1,0.000000
quito,0,5,0.121840,0.903090,bellman,52.000000,2,0.000000
quito,0,6,0.121840,0.936860,bellman,231.000000,6,0.000000
quito,0,7,0.121840,0.937800,bellman,1006.000000,7,0.000000
quito,1,3,0.107190,0.500000,bellman,2.000000,0,0.000000
quito,1,4,0.107190,0.943060,bellman,9.000000,1,0.000000
quito,1,5,0.107190,0.943060,bellman,44.000000,2,0.000000
quito,1,6,0.107190,0.962150,bellman,198.000000,3,0.000000
quito,1,7,0.107190,0.962150,bellman,863.000000,4,0.000000
quito,2,3,0.113380,0.500000,bellman,2.000000,8,0.000000
quito,2,4,0.113380,0.914600,bellman,11.000000,1,0.000000
quito,2,5,0.113380,0.914610,bellman,51.000000,9,0.000000
quito,2,6,0.113380,0.932510,bellman,228.000000,6,0.000000
quito,2,7,0.113380,0.932510,bellman,987.000000,10,0.000000
