hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
burlington,0,7,4.981090,0.962670,bellman,2556.000000,0,0.000000
burlington,1,7,4.875680,0.971010,bellman,2546.000000,1,0.000000
burlington,2,7,4.300660,0.962960,bellman,2484.000000,0,0.000000
burlington,3,7,4.699630,0.953080,bellman,2569.000000,1,0.000000
poughkeepsie,0,7,7.083440,0.961020,bellman,2430.000000,0,0.000000
poughkeepsie,1,7,6.494630,0.963950,bellman,2521.000000,0,0.000000
poughkeepsie,2,7,6.029290,0.866660,bellman,2458.000000,1,0.000000
poughkeepsie,3,7,6.164020,0.858200,bellman,2482.000000,0,0.000000
