hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
melbourne,0,7,7.485270,0.952590,bellman,2851.000000,0,0.000000
melbourne,1,7,6.656650,0.957690,bellman,2767.000000,0,0.000000
melbourne,2,7,6.329410,0.909940,bellman,2769.000000,0,0.000000
melbourne,3,7,6.374150,0.925690,bellman,2778.000000,1,0.000000
rochester,0,7,8.402700,0.926530,bellman,2760.000000,0,0.000000
rochester,1,7,8.313450,0.943180,bellman,2776.000000,2,0.000000
rochester,2,7,11.467880,0.909660,bellman,2764.000000,2,0.000000
rochester,3,7,11.272500,0.921960,bellman,2764.000000,0,0.000000
vigo,0,7,5.582610,0.981480,bellman,2828.000000,1,0.000000
vigo,1,7,5.231530,0.982640,bellman,2743.000000,1,0.000000
vigo,2,7,4.991570,0.981720,bellman,2798.000000,0,0.000000
vigo,3,7,5.053130,0.978210,bellman,2845.000000,0,0.000000
