hardware,embedding_index,algorithm_index,probability,method
brooklyn,2,1,0.864900,bellman
burlington,0,1,0.947590,bellman
burlington,1,1,0.932280,bellman
burlington,2,1,0.922070,bellman
cairo,0,1,0.979960,bellman
cairo,1,1,0.823280,bellman
cambridge,0,1,0.945140,bellman
cambridge,1,1,0.916390,bellman
cambridge,2,1,0.493040,bellman
casablanca,0,1,0.968750,bellman
casablanca,1,1,0.965940,bellman
casablanca,2,1,0.971070,bellman
casablanca,3,1,0.970230,bellman
casablanca,4,1,0.963330,bellman
essex,0,1,0.934740,bellman
essex,1,1,0.951240,bellman
essex,2,1,0.940540,bellman
geneva,0,1,0.969780,bellman
geneva,1,1,0.960310,bellman
geneva,2,1,0.842590,bellman
guadalupe,0,1,0.975710,bellman
guadalupe,1,1,0.928810,bellman
guadalupe,2,1,0.926640,bellman
hanoi,0,1,0.986540,bellman
hanoi,1,1,0.981750,bellman
hanoi,2,1,0.908800,bellman
jakarta,0,1,0.936930,bellman
jakarta,1,1,0.932590,bellman
jakarta,2,1,0.964700,bellman
jakarta,3,1,0.967830,bellman
jakarta,4,1,0.966430,bellman
johannesburg,0,1,0.952220,bellman
johannesburg,1,1,0.938510,bellman
johannesburg,2,1,0.807370,bellman
kolkata,0,1,0.986970,bellman
kolkata,1,1,0.984440,bellman
kolkata,2,1,0.896550,bellman
lagos,0,1,0.729070,bellman
lagos,1,1,0.722670,bellman
lagos,2,1,0.957860,bellman
lagos,3,1,0.854280,bellman
lagos,4,1,0.853590,bellman
lima,0,1,0.930440,bellman
lima,1,1,0.970800,bellman
lima,2,1,0.968280,bellman
london,0,1,0.960940,bellman
london,1,1,0.941180,bellman
london,2,1,0.938270,bellman
melbourne,0,1,0.946070,bellman
melbourne,1,1,0.779730,bellman
manhattan,0,1,0.975740,bellman
manhattan,1,1,0.500430,bellman
manhattan,2,1,0.500430,bellman
manila,0,1,0.974450,bellman
manila,1,1,0.890020,bellman
manila,2,1,0.963620,bellman
montreal,0,1,0.983390,bellman
montreal,1,1,0.893820,bellman
mumbai,0,1,0.960130,bellman
mumbai,1,1,0.893510,bellman
mumbai,2,1,0.893220,bellman
nairobi,0,1,0.966070,bellman
nairobi,1,1,0.962630,bellman
nairobi,2,1,0.965300,bellman
nairobi,3,1,0.971130,bellman
nairobi,4,1,0.969990,bellman
oslo,0,1,0.979920,bellman
oslo,1,1,0.978250,bellman
oslo,2,1,0.974360,bellman
oslo,3,1,0.975490,bellman
oslo,4,1,0.973860,bellman
ourense,0,1,0.958700,bellman
ourense,1,1,0.962070,bellman
ourense,2,1,0.959670,bellman
paris,0,1,0.973850,bellman
paris,1,1,0.973520,bellman
paris,2,1,0.778510,bellman
perth,0,1,0.943640,bellman
perth,1,1,0.938590,bellman
perth,2,1,0.962440,bellman
perth,3,1,0.967040,bellman
perth,4,1,0.965060,bellman
poughkeepsie,0,1,0.955340,bellman
poughkeepsie,1,1,0.770470,bellman
poughkeepsie,2,1,0.764260,bellman
quito,0,1,0.903500,bellman
quito,1,1,0.943160,bellman
quito,2,1,0.916180,bellman
rochester,0,1,0.949770,bellman
rochester,1,1,0.586630,bellman
rome,0,1,0.965680,bellman
rome,1,1,0.962220,bellman
rome,2,1,0.954790,bellman
santiago,0,1,0.977290,bellman
santiago,1,1,0.973840,bellman
santiago,2,1,0.977000,bellman
singapore,0,1,0.961080,bellman
singapore,1,1,0.898600,bellman
singapore,2,1,0.896740,bellman
sydney,0,1,0.970100,bellman
sydney,1,1,0.872760,bellman
sydney,2,1,0.866810,bellman
toronto,0,1,0.979730,bellman
toronto,1,1,0.956540,bellman
toronto,2,1,0.713610,bellman
valencia,0,1,0.955070,bellman
valencia,1,1,0.965200,bellman
valencia,2,1,0.962960,bellman
vigo,0,1,0.967780,bellman
vigo,1,1,0.967250,bellman
vigo,2,1,0.963840,bellman
washington,0,1,0.980740,bellman
washington,1,1,0.714710,bellman
washington,2,1,0.484610,bellman
yorktown,0,1,0.692540,bellman
yorktown,1,1,0.949920,bellman
yorktown,2,1,0.864700,bellman
yorktown,3,1,0.852590,bellman
yorktown,4,1,0.941550,bellman
yorktown,5,1,0.911440,bellman
perfect_hardware,0,1,1.000000,bellman
algiers,0,2,0.975450,bellman
algiers,1,2,0.928560,bellman
almaden,0,2,0.961670,bellman
almaden,1,2,0.752480,bellman
almaden,2,2,0.743900,bellman
athens,0,2,0.956850,bellman
athens,1,2,0.954560,bellman
athens,2,2,0.975810,bellman
auckland,0,2,0.984030,bellman
auckland,1,2,0.960690,bellman
belem,0,2,0.948160,bellman
belem,1,2,0.952620,bellman
belem,2,2,0.949060,bellman
boeblingen,0,2,0.957260,bellman
boeblingen,1,2,0.854390,bellman
bogota,0,2,0.893170,bellman
bogota,1,2,0.914290,bellman
bogota,2,2,0.955350,bellman
brooklyn,0,2,0.977760,bellman
brooklyn,1,2,0.976440,bellman
brooklyn,2,2,0.864900,bellman
burlington,0,2,0.947590,bellman
burlington,1,2,0.932280,bellman
burlington,2,2,0.922070,bellman
cairo,0,2,0.979960,bellman
cairo,1,2,0.823280,bellman
cambridge,0,2,0.945140,bellman
cambridge,1,2,0.916390,bellman
cambridge,2,2,0.493040,bellman
casablanca,0,2,0.968750,bellman
casablanca,1,2,0.965940,bellman
casablanca,2,2,0.971070,bellman
casablanca,3,2,0.970230,bellman
casablanca,4,2,0.963330,bellman
essex,0,2,0.934740,bellman
essex,1,2,0.951240,bellman
essex,2,2,0.940540,bellman
geneva,0,2,0.969780,bellman
geneva,1,2,0.960310,bellman
geneva,2,2,0.842590,bellman
guadalupe,0,2,0.975710,bellman
guadalupe,1,2,0.928810,bellman
guadalupe,2,2,0.926640,bellman
hanoi,0,2,0.986540,bellman
hanoi,1,2,0.981750,bellman
hanoi,2,2,0.908800,bellman
jakarta,0,2,0.936930,bellman
jakarta,1,2,0.932590,bellman
jakarta,2,2,0.964700,bellman
jakarta,3,2,0.967830,bellman
jakarta,4,2,0.966430,bellman
johannesburg,0,2,0.952220,bellman
johannesburg,1,2,0.938510,bellman
johannesburg,2,2,0.807370,bellman
kolkata,0,2,0.986970,bellman
kolkata,1,2,0.984440,bellman
kolkata,2,2,0.896550,bellman
lagos,0,2,0.729070,bellman
lagos,1,2,0.722670,bellman
lagos,2,2,0.957860,bellman
lagos,3,2,0.854280,bellman
lagos,4,2,0.853590,bellman
lima,0,2,0.930440,bellman
lima,1,2,0.970800,bellman
lima,2,2,0.968280,bellman
london,0,2,0.960940,bellman
london,1,2,0.941180,bellman
london,2,2,0.938270,bellman
melbourne,0,2,0.946070,bellman
melbourne,1,2,0.779730,bellman
manhattan,0,2,0.975740,bellman
manhattan,1,2,0.500430,bellman
manhattan,2,2,0.500430,bellman
manila,0,2,0.974450,bellman
manila,1,2,0.890020,bellman
manila,2,2,0.963620,bellman
montreal,0,2,0.983390,bellman
montreal,1,2,0.893820,bellman
mumbai,0,2,0.960130,bellman
mumbai,1,2,0.893510,bellman
mumbai,2,2,0.893220,bellman
nairobi,0,2,0.966070,bellman
nairobi,1,2,0.962630,bellman
nairobi,2,2,0.965300,bellman
nairobi,3,2,0.971130,bellman
nairobi,4,2,0.969990,bellman
oslo,0,2,0.979920,bellman
oslo,1,2,0.978250,bellman
oslo,2,2,0.974360,bellman
oslo,3,2,0.975490,bellman
oslo,4,2,0.973860,bellman
ourense,0,2,0.958700,bellman
ourense,1,2,0.962070,bellman
ourense,2,2,0.959670,bellman
paris,0,2,0.973850,bellman
paris,1,2,0.973520,bellman
paris,2,2,0.778510,bellman
perth,0,2,0.943640,bellman
perth,1,2,0.938590,bellman
perth,2,2,0.962440,bellman
perth,3,2,0.967040,bellman
perth,4,2,0.965060,bellman
poughkeepsie,0,2,0.955340,bellman
poughkeepsie,1,2,0.770470,bellman
poughkeepsie,2,2,0.764260,bellman
quito,0,2,0.903500,bellman
quito,1,2,0.943160,bellman
quito,2,2,0.916180,bellman
rochester,0,2,0.949760,bellman
rochester,1,2,0.586630,bellman
rome,0,2,0.965680,bellman
rome,1,2,0.962220,bellman
rome,2,2,0.954790,bellman
santiago,0,2,0.977290,bellman
santiago,1,2,0.973840,bellman
santiago,2,2,0.977000,bellman
singapore,0,2,0.961080,bellman
singapore,1,2,0.898600,bellman
singapore,2,2,0.896740,bellman
sydney,0,2,0.970100,bellman
sydney,1,2,0.872760,bellman
sydney,2,2,0.866810,bellman
toronto,0,2,0.979730,bellman
toronto,1,2,0.956540,bellman
toronto,2,2,0.713610,bellman
valencia,0,2,0.955070,bellman
valencia,1,2,0.965200,bellman
valencia,2,2,0.962960,bellman
vigo,0,2,0.967780,bellman
vigo,1,2,0.967250,bellman
vigo,2,2,0.963840,bellman
washington,0,2,0.980740,bellman
washington,1,2,0.714710,bellman
washington,2,2,0.484610,bellman
yorktown,0,2,0.692540,bellman
yorktown,1,2,0.949920,bellman
yorktown,2,2,0.864700,bellman
yorktown,3,2,0.852590,bellman
yorktown,4,2,0.941550,bellman
yorktown,5,2,0.911440,bellman
perfect_hardware,0,2,1.000000,bellman
algiers,0,3,0.979990,bellman
algiers,1,3,0.964070,bellman
almaden,0,3,0.978290,bellman
almaden,1,3,0.841000,bellman
almaden,2,3,0.829400,bellman
athens,0,3,0.970610,bellman
athens,1,3,0.976110,bellman
athens,2,3,0.986820,bellman
auckland,0,3,0.989320,bellman
auckland,1,3,0.978040,bellman
belem,0,3,0.977600,bellman
belem,1,3,0.980660,bellman
belem,2,3,0.976870,bellman
boeblingen,0,3,0.973250,bellman
boeblingen,1,3,0.933660,bellman
bogota,0,3,0.935160,bellman
bogota,1,3,0.941420,bellman
bogota,2,3,0.979360,bellman
brooklyn,0,3,0.989560,bellman
brooklyn,1,3,0.988200,bellman
brooklyn,2,3,0.922750,bellman
burlington,0,3,0.975320,bellman
burlington,1,3,0.972180,bellman
burlington,2,3,0.961030,bellman
cairo,0,3,0.993120,bellman
cairo,1,3,0.905350,bellman
cambridge,0,3,0.960010,bellman
cambridge,1,3,0.930310,bellman
cambridge,2,3,0.489730,bellman
casablanca,0,3,0.984780,bellman
casablanca,1,3,0.981870,bellman
casablanca,2,3,0.985530,bellman
casablanca,3,3,0.983580,bellman
casablanca,4,3,0.976480,bellman
essex,0,3,0.965480,bellman
essex,1,3,0.978100,bellman
essex,2,3,0.966760,bellman
geneva,0,3,0.982560,bellman
geneva,1,3,0.972840,bellman
geneva,2,3,0.925770,bellman
guadalupe,0,3,0.986710,bellman
guadalupe,1,3,0.977560,bellman
guadalupe,2,3,0.975140,bellman
hanoi,0,3,0.992630,bellman
hanoi,1,3,0.987780,bellman
hanoi,2,3,0.971910,bellman
jakarta,0,3,0.982740,bellman
jakarta,1,3,0.977940,bellman
jakarta,2,3,0.987620,bellman
jakarta,3,3,0.986610,bellman
jakarta,4,3,0.985170,bellman
johannesburg,0,3,0.967770,bellman
johannesburg,1,3,0.953590,bellman
johannesburg,2,3,0.895210,bellman
kolkata,0,3,0.991710,bellman
kolkata,1,3,0.989160,bellman
kolkata,2,3,0.931570,bellman
lagos,0,3,0.817640,bellman
lagos,1,3,0.808750,bellman
lagos,2,3,0.972900,bellman
lagos,3,3,0.937640,bellman
lagos,4,3,0.936780,bellman
lima,0,3,0.972490,bellman
lima,1,3,0.989260,bellman
lima,2,3,0.986630,bellman
london,0,3,0.976050,bellman
london,1,3,0.981770,bellman
london,2,3,0.978590,bellman
melbourne,0,3,0.969080,bellman
melbourne,1,3,0.864650,bellman
manhattan,0,3,0.981690,bellman
manhattan,1,3,0.500630,bellman
manhattan,2,3,0.500630,bellman
manila,0,3,0.987920,bellman
manila,1,3,0.957970,bellman
manila,2,3,0.983480,bellman
montreal,0,3,0.990210,bellman
montreal,1,3,0.962620,bellman
mumbai,0,3,0.972920,bellman
mumbai,1,3,0.965090,bellman
mumbai,2,3,0.964750,bellman
nairobi,0,3,0.986570,bellman
nairobi,1,3,0.982980,bellman
nairobi,2,3,0.985590,bellman
nairobi,3,3,0.989510,bellman
nairobi,4,3,0.988330,bellman
oslo,0,3,0.989330,bellman
oslo,1,3,0.987620,bellman
oslo,2,3,0.988740,bellman
oslo,3,3,0.988890,bellman
oslo,4,3,0.987220,bellman
ourense,0,3,0.986950,bellman
ourense,1,3,0.988530,bellman
ourense,2,3,0.985990,bellman
paris,0,3,0.982490,bellman
paris,1,3,0.982150,bellman
paris,2,3,0.871280,bellman
perth,0,3,0.980240,bellman
perth,1,3,0.974760,bellman
perth,2,3,0.988480,bellman
perth,3,3,0.990160,bellman
perth,4,3,0.988090,bellman
poughkeepsie,0,3,0.974070,bellman
poughkeepsie,1,3,0.847870,bellman
poughkeepsie,2,3,0.839870,bellman
quito,0,3,0.938180,bellman
quito,1,3,0.962230,bellman
quito,2,3,0.934090,bellman
rochester,0,3,0.958670,bellman
rochester,1,3,0.628290,bellman
rome,0,3,0.987230,bellman
rome,1,3,0.981580,bellman
rome,2,3,0.981350,bellman
santiago,0,3,0.991950,bellman
santiago,1,3,0.990600,bellman
santiago,2,3,0.990540,bellman
singapore,0,3,0.976490,bellman
singapore,1,3,0.962580,bellman
singapore,2,3,0.960420,bellman
sydney,0,3,0.978760,bellman
sydney,1,3,0.950580,bellman
sydney,2,3,0.943390,bellman
toronto,0,3,0.987150,bellman
toronto,1,3,0.963610,bellman
toronto,2,3,0.798690,bellman
valencia,0,3,0.981810,bellman
valencia,1,3,0.986460,bellman
valencia,2,3,0.984120,bellman
vigo,0,3,0.987460,bellman
vigo,1,3,0.987800,bellman
vigo,2,3,0.984240,bellman
washington,0,3,0.983420,bellman
washington,1,3,0.794140,bellman
washington,2,3,0.478910,bellman
yorktown,0,3,0.772200,bellman
yorktown,1,3,0.974160,bellman
yorktown,2,3,0.939040,bellman
yorktown,3,3,0.924470,bellman
yorktown,4,3,0.968160,bellman
yorktown,5,3,0.960230,bellman
perfect_hardware,0,3,1.000000,bellman
algiers,0,4,0.979990,bellman
algiers,1,4,0.964070,bellman
almaden,0,4,0.978290,bellman
almaden,1,4,0.841000,bellman
almaden,2,4,0.829400,bellman
athens,0,4,0.970610,bellman
athens,1,4,0.976110,bellman
athens,2,4,0.986820,bellman
auckland,0,4,0.989320,bellman
auckland,1,4,0.978040,bellman
belem,0,4,0.977600,bellman
belem,1,4,0.980660,bellman
belem,2,4,0.976870,bellman
boeblingen,0,4,0.973250,bellman
boeblingen,1,4,0.933660,bellman
bogota,0,4,0.935160,bellman
bogota,1,4,0.941420,bellman
bogota,2,4,0.979360,bellman
brooklyn,0,4,0.989560,bellman
brooklyn,1,4,0.988200,bellman
brooklyn,2,4,0.922740,bellman
burlington,0,4,0.975320,bellman
burlington,1,4,0.972180,bellman
burlington,2,4,0.961030,bellman
cairo,0,4,0.993120,bellman
cairo,1,4,0.905350,bellman
cambridge,0,4,0.960010,bellman
cambridge,1,4,0.930310,bellman
cambridge,2,4,0.489730,bellman
casablanca,0,4,0.984780,bellman
casablanca,1,4,0.981870,bellman
casablanca,2,4,0.985530,bellman
casablanca,3,4,0.983580,bellman
casablanca,4,4,0.976480,bellman
essex,0,4,0.965480,bellman
essex,1,4,0.978100,bellman
essex,2,4,0.966760,bellman
geneva,0,4,0.982560,bellman
geneva,1,4,0.972840,bellman
geneva,2,4,0.925770,bellman
guadalupe,0,4,0.986710,bellman
guadalupe,1,4,0.977560,bellman
guadalupe,2,4,0.975140,bellman
hanoi,0,4,0.992630,bellman
hanoi,1,4,0.987780,bellman
hanoi,2,4,0.971910,bellman
jakarta,0,4,0.982740,bellman
jakarta,1,4,0.977940,bellman
jakarta,2,4,0.987620,bellman
jakarta,3,4,0.986610,bellman
jakarta,4,4,0.985160,bellman
johannesburg,0,4,0.967770,bellman
johannesburg,1,4,0.953590,bellman
johannesburg,2,4,0.895200,bellman
kolkata,0,4,0.991710,bellman
kolkata,1,4,0.989160,bellman
kolkata,2,4,0.931560,bellman
lagos,0,4,0.817640,bellman
lagos,1,4,0.808750,bellman
lagos,2,4,0.972900,bellman
lagos,3,4,0.937640,bellman
lagos,4,4,0.936780,bellman
lima,0,4,0.972490,bellman
lima,1,4,0.989260,bellman
lima,2,4,0.986630,bellman
london,0,4,0.976050,bellman
london,1,4,0.981770,bellman
london,2,4,0.978590,bellman
melbourne,0,4,0.969080,bellman
melbourne,1,4,0.864650,bellman
manhattan,0,4,0.981690,bellman
manhattan,1,4,0.500630,bellman
manhattan,2,4,0.500630,bellman
manila,0,4,0.987920,bellman
manila,1,4,0.957970,bellman
manila,2,4,0.983480,bellman
montreal,0,4,0.990210,bellman
montreal,1,4,0.962620,bellman
mumbai,0,4,0.972920,bellman
mumbai,1,4,0.965090,bellman
mumbai,2,4,0.964750,bellman
nairobi,0,4,0.986570,bellman
nairobi,1,4,0.982980,bellman
nairobi,2,4,0.985590,bellman
nairobi,3,4,0.989510,bellman
nairobi,4,4,0.988330,bellman
oslo,0,4,0.989330,bellman
oslo,1,4,0.987620,bellman
oslo,2,4,0.988740,bellman
oslo,3,4,0.988890,bellman
oslo,4,4,0.987220,bellman
ourense,0,4,0.986950,bellman
ourense,1,4,0.988530,bellman
ourense,2,4,0.985990,bellman
paris,0,4,0.982490,bellman
paris,1,4,0.982150,bellman
paris,2,4,0.871280,bellman
perth,0,4,0.980240,bellman
perth,1,4,0.974760,bellman
perth,2,4,0.988480,bellman
perth,3,4,0.990160,bellman
perth,4,4,0.988090,bellman
poughkeepsie,0,4,0.974070,bellman
poughkeepsie,1,4,0.847860,bellman
poughkeepsie,2,4,0.839870,bellman
quito,0,4,0.938180,bellman
quito,1,4,0.962230,bellman
quito,2,4,0.934080,bellman
rochester,0,4,0.958670,bellman
rochester,1,4,0.628290,bellman
rome,0,4,0.987230,bellman
rome,1,4,0.981580,bellman
rome,2,4,0.981350,bellman
santiago,0,4,0.991950,bellman
santiago,1,4,0.990600,bellman
santiago,2,4,0.990540,bellman
singapore,0,4,0.976490,bellman
singapore,1,4,0.962580,bellman
singapore,2,4,0.960420,bellman
sydney,0,4,0.978760,bellman
sydney,1,4,0.950580,bellman
sydney,2,4,0.943390,bellman
toronto,0,4,0.987150,bellman
toronto,1,4,0.963610,bellman
toronto,2,4,0.798690,bellman
valencia,0,4,0.981810,bellman
valencia,1,4,0.986460,bellman
valencia,2,4,0.984120,bellman
vigo,0,4,0.987460,bellman
vigo,1,4,0.987800,bellman
vigo,2,4,0.984240,bellman
washington,0,4,0.983420,bellman
washington,1,4,0.794140,bellman
washington,2,4,0.478910,bellman
yorktown,0,4,0.772200,bellman
yorktown,1,4,0.974160,bellman
yorktown,2,4,0.939040,bellman
yorktown,3,4,0.924470,bellman
yorktown,4,4,0.968160,bellman
yorktown,5,4,0.960230,bellman
perfect_hardware,0,4,1.000000,bellman
algiers,0,5,0.500000,bellman
algiers,1,5,0.500000,bellman
almaden,0,5,0.500000,bellman
almaden,1,5,0.500000,bellman
almaden,2,5,0.500000,bellman
athens,0,5,0.500000,bellman
athens,1,5,0.500000,bellman
athens,2,5,0.500000,bellman
auckland,0,5,0.500000,bellman
auckland,1,5,0.500000,bellman
belem,0,5,0.500000,bellman
belem,1,5,0.500000,bellman
belem,2,5,0.500000,bellman
boeblingen,0,5,0.500000,bellman
boeblingen,1,5,0.500000,bellman
bogota,0,5,0.500000,bellman
bogota,1,5,0.500000,bellman
bogota,2,5,0.500000,bellman
brooklyn,0,5,0.500000,bellman
brooklyn,1,5,0.500000,bellman
brooklyn,2,5,0.500000,bellman
burlington,0,5,0.500000,bellman
burlington,1,5,0.500000,bellman
burlington,2,5,0.500000,bellman
cairo,0,5,0.500000,bellman
cairo,1,5,0.500000,bellman
cambridge,0,5,0.500000,bellman
cambridge,1,5,0.500000,bellman
cambridge,2,5,0.500000,bellman
casablanca,0,5,0.500000,bellman
casablanca,1,5,0.500000,bellman
casablanca,2,5,0.500000,bellman
casablanca,3,5,0.500000,bellman
casablanca,4,5,0.500000,bellman
essex,0,5,0.500000,bellman
essex,1,5,0.500000,bellman
essex,2,5,0.500000,bellman
geneva,0,5,0.500000,bellman
geneva,1,5,0.500000,bellman
geneva,2,5,0.500000,bellman
guadalupe,0,5,0.500000,bellman
guadalupe,1,5,0.500000,bellman
guadalupe,2,5,0.500000,bellman
hanoi,0,5,0.500000,bellman
hanoi,1,5,0.500000,bellman
hanoi,2,5,0.500000,bellman
jakarta,0,5,0.500000,bellman
jakarta,1,5,0.500000,bellman
jakarta,2,5,0.500000,bellman
jakarta,3,5,0.500000,bellman
jakarta,4,5,0.500000,bellman
johannesburg,0,5,0.500000,bellman
johannesburg,1,5,0.500000,bellman
johannesburg,2,5,0.500000,bellman
kolkata,0,5,0.500000,bellman
kolkata,1,5,0.500000,bellman
kolkata,2,5,0.500000,bellman
lagos,0,5,0.500000,bellman
lagos,1,5,0.500000,bellman
lagos,2,5,0.500000,bellman
lagos,3,5,0.500000,bellman
lagos,4,5,0.500000,bellman
lima,0,5,0.500000,bellman
lima,1,5,0.500000,bellman
lima,2,5,0.500000,bellman
london,0,5,0.500000,bellman
london,1,5,0.500000,bellman
london,2,5,0.500000,bellman
melbourne,0,5,0.500000,bellman
melbourne,1,5,0.500000,bellman
manhattan,0,5,0.500000,bellman
manhattan,1,5,0.500000,bellman
manhattan,2,5,0.500000,bellman
