hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
cambridge,0,bellman,3,0,22,0.500000,0.500000,0.000000
cambridge,0,bellman,4,1,23,0.945140,0.945140,0.000000
cambridge,0,bellman,5,2,24,0.945140,0.945140,0.000000
cambridge,0,bellman,6,3,25,0.960010,0.960010,0.000000
cambridge,0,bellman,7,4,26,0.960010,0.960010,0.000000
cambridge,1,bellman,3,5,22,0.500000,0.500000,0.000000
cambridge,1,bellman,4,1,23,0.916390,0.916390,0.000000
cambridge,1,bellman,5,6,24,0.916390,0.916390,0.000000
cambridge,1,bellman,6,3,25,0.930310,0.930310,0.000000
cambridge,1,bellman,7,7,26,0.930310,0.930310,0.000000
cambridge,2,bellman,3,8,22,0.500000,0.500000,0.000000
cambridge,2,bellman,4,9,23,0.506960,0.493040,0.013920
cambridge,2,bellman,5,10,24,0.506960,0.493040,0.013920
cambridge,2,bellman,6,11,25,0.510270,0.489730,0.020540
cambridge,2,bellman,7,12,26,0.510270,0.489730,0.020540
jakarta,0,bellman,3,8,22,0.500000,0.500000,0.000000
jakarta,0,bellman,4,1,23,0.967830,0.967830,0.000000
jakarta,0,bellman,5,2,24,0.967830,0.967830,0.000000
jakarta,0,bellman,6,3,25,0.986610,0.986610,0.000000
jakarta,0,bellman,7,4,26,0.986620,0.986610,0.000000
jakarta,1,bellman,3,8,22,0.500000,0.500000,0.000000
jakarta,1,bellman,4,1,23,0.966430,0.966430,0.000000
jakarta,1,bellman,5,2,24,0.966430,0.966430,0.000000
jakarta,1,bellman,6,3,25,0.985160,0.985160,0.000000
jakarta,1,bellman,7,4,26,0.985160,0.985160,0.000000
jakarta,2,bellman,3,0,22,0.500000,0.500000,0.000000
jakarta,2,bellman,4,1,23,0.964700,0.964700,0.000000
jakarta,2,bellman,5,2,24,0.964700,0.964700,0.000000
jakarta,2,bellman,6,3,25,0.987620,0.987620,0.000000
jakarta,2,bellman,7,4,26,0.987620,0.987620,0.000000
jakarta,3,bellman,3,0,22,0.500000,0.500000,0.000000
jakarta,3,bellman,4,1,23,0.936930,0.936930,0.000000
jakarta,3,bellman,5,2,24,0.936930,0.936930,0.000000
jakarta,3,bellman,6,3,25,0.982740,0.982740,0.000000
jakarta,3,bellman,7,4,26,0.982740,0.982740,0.000000
jakarta,4,bellman,3,8,22,0.500000,0.500000,0.000000
jakarta,4,bellman,4,1,23,0.932590,0.932590,0.000000
jakarta,4,bellman,5,2,24,0.932590,0.932590,0.000000
jakarta,4,bellman,6,3,25,0.977950,0.977950,0.000000
jakarta,4,bellman,7,4,26,0.977950,0.977950,0.000000
yorktown,0,bellman,3,5,22,0.500000,0.500000,0.000000
yorktown,0,bellman,4,1,23,0.911440,0.911440,0.000000
yorktown,0,bellman,5,6,24,0.911440,0.911440,0.000000
yorktown,0,bellman,6,3,25,0.960230,0.960230,0.000000
yorktown,0,bellman,7,7,26,0.960230,0.960230,0.000000
yorktown,1,bellman,3,5,22,0.500000,0.500000,0.000000
yorktown,1,bellman,4,1,23,0.941550,0.941550,0.000000
yorktown,1,bellman,5,6,24,0.941550,0.941550,0.000000
yorktown,1,bellman,6,3,25,0.968160,0.968160,0.000000
yorktown,1,bellman,7,7,26,0.968160,0.968160,0.000000
yorktown,2,bellman,3,0,22,0.500000,0.500000,0.000000
yorktown,2,bellman,4,1,23,0.864700,0.864700,0.000000
yorktown,2,bellman,5,2,24,0.864700,0.864700,0.000000
yorktown,2,bellman,6,3,25,0.939040,0.939040,0.000000
yorktown,2,bellman,7,4,26,0.939040,0.939040,0.000000
yorktown,3,bellman,3,0,22,0.500000,0.500000,0.000000
yorktown,3,bellman,4,1,23,0.852590,0.852590,0.000000
yorktown,3,bellman,5,2,24,0.852590,0.852590,0.000000
yorktown,3,bellman,6,3,25,0.924470,0.924470,0.000000
yorktown,3,bellman,7,4,26,0.924470,0.924470,0.000000
yorktown,4,bellman,3,0,22,0.500000,0.500000,0.000000
yorktown,4,bellman,4,1,23,0.949920,0.949920,0.000000
yorktown,4,bellman,5,2,24,0.949920,0.949920,0.000000
yorktown,4,bellman,6,3,25,0.974160,0.974160,0.000000
yorktown,4,bellman,7,4,26,0.974160,0.974160,0.000000
yorktown,5,bellman,3,0,22,0.500000,0.500000,0.000000
yorktown,5,bellman,4,1,23,0.692540,0.692540,0.000000
yorktown,5,bellman,5,2,24,0.692540,0.692540,0.000000
yorktown,5,bellman,6,3,25,0.772200,0.772200,0.000000
yorktown,5,bellman,7,4,26,0.772200,0.772200,0.000000
athens,0,bellman,3,8,22,0.500000,0.500000,0.000000
athens,0,bellman,4,1,23,0.975810,0.975810,0.000000
athens,0,bellman,5,2,24,0.975810,0.975810,0.000000
athens,0,bellman,6,3,25,0.986820,0.986820,0.000000
athens,0,bellman,7,4,26,0.986820,0.986820,0.000000
athens,1,bellman,3,8,22,0.500000,0.500000,0.000000
athens,1,bellman,4,1,23,0.954560,0.954560,0.000000
athens,1,bellman,5,2,24,0.954560,0.954560,0.000000
athens,1,bellman,6,3,25,0.976120,0.976120,0.000000
athens,1,bellman,7,4,26,0.976120,0.976120,0.000000
athens,2,bellman,3,13,22,0.500000,0.500000,0.000000
athens,2,bellman,4,1,23,0.956850,0.956850,0.000000
athens,2,bellman,5,6,24,0.956850,0.956850,0.000000
athens,2,bellman,6,3,25,0.970610,0.970610,0.000000
athens,2,bellman,7,7,26,0.970610,0.970610,0.000000
perfect_hardware,0,bellman,3,0,22,0.500000,0.500000,0.000000
perfect_hardware,0,bellman,4,14,23,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,5,15,24,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,6,16,25,1.000000,1.000000,0.000000
perfect_hardware,0,bellman,7,17,26,1.000000,1.000000,0.000000
melbourne,0,bellman,3,18,22,0.500000,0.500000,0.000000
melbourne,0,bellman,4,1,23,0.946070,0.946070,0.000000
melbourne,0,bellman,5,2,24,0.946070,0.946070,0.000000
melbourne,0,bellman,6,3,25,0.969080,0.969080,0.000000
melbourne,0,bellman,7,4,26,0.969080,0.969080,0.000000
melbourne,1,bellman,3,18,22,0.500000,0.500000,0.000000
melbourne,1,bellman,4,1,23,0.779730,0.779730,0.000000
melbourne,1,bellman,5,2,24,0.779730,0.779730,0.000000
melbourne,1,bellman,6,3,25,0.864650,0.864650,0.000000
melbourne,1,bellman,7,4,26,0.864650,0.864650,0.000000
rochester,0,bellman,3,18,22,0.500000,0.500000,0.000000
rochester,0,bellman,4,1,23,0.949770,0.949770,0.000000
rochester,0,bellman,5,2,24,0.949770,0.949770,0.000000
rochester,0,bellman,6,3,25,0.958670,0.958670,0.000000
rochester,0,bellman,7,4,26,0.958670,0.958670,0.000000
rochester,1,bellman,3,8,22,0.500000,0.500000,0.000000
rochester,1,bellman,4,1,23,0.586630,0.586630,0.000000
rochester,1,bellman,5,2,24,0.586630,0.586630,0.000000
rochester,1,bellman,6,3,25,0.628300,0.628300,0.000000
rochester,1,bellman,7,4,26,0.628300,0.628300,0.000000
vigo,0,bellman,3,19,22,0.500000,0.500000,0.000000
