hardware,embedding_index,horizon,method,time,result
cambridge,0,3,bellman,0.032080,1
cambridge,0,4,bellman,0.035690,1
cambridge,0,5,bellman,0.036290,1
cambridge,0,6,bellman,0.055990,1
cambridge,0,7,bellman,0.057820,1
cambridge,1,3,bellman,0.005590,1
cambridge,1,4,bellman,0.034480,1
cambridge,1,5,bellman,0.039900,1
cambridge,1,6,bellman,0.054310,1
cambridge,1,7,bellman,0.081330,1
cambridge,2,3,bellman,0.031610,1
cambridge,2,4,bellman,0.036550,1
cambridge,2,5,bellman,0.038420,1
cambridge,2,6,bellman,0.058990,1
cambridge,2,7,bellman,0.060890,1
jakarta,0,3,bellman,0.012250,1
jakarta,0,4,bellman,0.015810,1
jakarta,0,5,bellman,0.016540,1
jakarta,0,6,bellman,0.029650,1
jakarta,0,7,bellman,0.031060,1
jakarta,1,3,bellman,0.012700,1
jakarta,1,4,bellman,0.015940,1
jakarta,1,5,bellman,0.016720,1
jakarta,1,6,bellman,0.030190,1
jakarta,1,7,bellman,0.031180,1
jakarta,2,3,bellman,0.003250,1
jakarta,2,4,bellman,0.017350,1
jakarta,2,5,bellman,0.018160,1
jakarta,2,6,bellman,0.032300,1
jakarta,2,7,bellman,0.033440,1
jakarta,3,3,bellman,0.003450,1
jakarta,3,4,bellman,0.018720,1
jakarta,3,5,bellman,0.019780,1
jakarta,3,6,bellman,0.034130,1
jakarta,3,7,bellman,0.035520,1
jakarta,4,3,bellman,0.014500,1
jakarta,4,4,bellman,0.017900,1
jakarta,4,5,bellman,0.019020,1
jakarta,4,6,bellman,0.033190,1
jakarta,4,7,bellman,0.034330,1
yorktown,0,3,bellman,0.004240,1
yorktown,0,4,bellman,0.015120,1
yorktown,0,5,bellman,0.020130,1
yorktown,0,6,bellman,0.029260,1
yorktown,0,7,bellman,0.049310,1
yorktown,1,3,bellman,0.004200,1
yorktown,1,4,bellman,0.015060,1
yorktown,1,5,bellman,0.019740,1
yorktown,1,6,bellman,0.028930,1
yorktown,1,7,bellman,0.049260,1
yorktown,2,3,bellman,0.002950,1
yorktown,2,4,bellman,0.015790,1
yorktown,2,5,bellman,0.016590,1
yorktown,2,6,bellman,0.030190,1
