hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
kolkata,0,7,11.787970,0.986930,bellman,2577.000000,0,0.000000
kolkata,1,7,11.576630,0.984430,bellman,2574.000000,0,0.000000
kolkata,2,7,8.084790,0.914380,bellman,2571.000000,1,0.000000
kolkata,3,7,8.028270,0.922330,bellman,2575.000000,1,0.000000
quito,0,7,5.677290,0.911500,bellman,2575.000000,1,0.000000
quito,1,7,5.685180,0.921780,bellman,2576.000000,2,0.000000
quito,2,7,5.139400,0.932920,bellman,2577.000000,2,0.000000
quito,3,7,5.427730,0.907540,bellman,2570.000000,2,0.000000
