hardware,embedding_index,horizon,pomdp_build_time,probability,method,method_time,algorithm_index,error
kolkata,0,8,0.001410,0.999600,bellman,29.000000,0,0.000000
kolkata,0,9,0.001410,0.999830,bellman,89.000000,1,0.000000
kolkata,1,8,0.001880,1.000000,bellman,29.000000,2,0.000000
kolkata,1,9,0.001880,1.000000,bellman,89.000000,3,0.000000
kyoto,0,8,0.002450,1.000000,bellman,29.000000,2,0.000000
kyoto,0,9,0.002450,1.000000,bellman,89.000000,3,0.000000
kyoto,1,8,0.004510,0.669460,bellman,29.000000,4,0.000000
kyoto,1,9,0.004510,0.669510,bellman,89.000000,5,0.000000
quito,0,8,0.001060,0.999950,bellman,29.000000,2,0.000000
quito,0,9,0.001060,0.999980,bellman,89.000000,6,0.000000
quito,1,8,0.001130,0.995190,bellman,29.000000,7,0.000000
quito,1,9,0.001130,0.995860,bellman,89.000000,3,0.000000
