hardware,embedding_index,horizon,method,time,result
cambridge,0,3,bellman,0.050370,0
cambridge,0,4,bellman,0.166500,0
cambridge,0,5,bellman,0.088620,0
cambridge,0,6,bellman,0.463820,0
cambridge,0,7,bellman,0.257510,0
cambridge,1,3,bellman,0.046400,0
cambridge,1,4,bellman,0.161700,0
cambridge,1,5,bellman,0.086920,0
cambridge,1,6,bellman,0.452500,0
cambridge,1,7,bellman,0.249850,0
cambridge,2,3,bellman,0.049640,0
cambridge,2,4,bellman,0.060220,0
cambridge,2,5,bellman,0.092370,0
cambridge,2,6,bellman,0.104060,0
cambridge,2,7,bellman,0.263340,0
jakarta,0,3,bellman,0.023400,0
jakarta,0,4,bellman,0.027500,0
jakarta,0,5,bellman,0.053630,0
jakarta,0,6,bellman,0.058450,0
jakarta,0,7,bellman,0.178150,0
jakarta,1,3,bellman,0.023810,0
jakarta,1,4,bellman,0.027940,0
jakarta,1,5,bellman,0.054230,0
jakarta,1,6,bellman,0.059090,0
jakarta,1,7,bellman,0.179660,0
jakarta,2,3,bellman,0.025120,0
jakarta,2,4,bellman,0.029990,0
jakarta,2,5,bellman,0.056600,0
jakarta,2,6,bellman,0.062160,0
jakarta,2,7,bellman,0.185280,0
jakarta,3,3,bellman,0.026950,0
jakarta,3,4,bellman,0.032020,0
jakarta,3,5,bellman,0.059140,0
jakarta,3,6,bellman,0.065190,0
jakarta,3,7,bellman,0.191430,0
jakarta,4,3,bellman,0.026250,0
jakarta,4,4,bellman,0.030930,0
jakarta,4,5,bellman,0.057660,0
jakarta,4,6,bellman,0.063200,0
jakarta,4,7,bellman,0.187460,0
yorktown,0,3,bellman,0.022550,0
yorktown,0,4,bellman,0.033530,0
yorktown,0,5,bellman,0.052340,0
yorktown,0,6,bellman,0.098570,0
yorktown,0,7,bellman,0.175510,0
yorktown,1,3,bellman,0.022570,0
yorktown,1,4,bellman,0.073740,0
yorktown,1,5,bellman,0.052500,0
yorktown,1,6,bellman,0.221810,0
yorktown,1,7,bellman,0.175660,0
yorktown,2,3,bellman,0.023420,0
yorktown,2,4,bellman,0.027810,0
yorktown,2,5,bellman,0.054040,0
yorktown,2,6,bellman,0.058880,0
yorktown,2,7,bellman,0.179860,0
yorktown,3,3,bellman,0.024300,0
yorktown,3,4,bellman,0.028790,0
yorktown,3,5,bellman,0.055470,0
yorktown,3,6,bellman,0.060480,0
yorktown,3,7,bellman,0.182120,0
yorktown,4,3,bellman,0.024880,0
yorktown,4,4,bellman,0.029200,0
yorktown,4,5,bellman,0.055940,0
yorktown,4,6,bellman,0.061200,0
yorktown,4,7,bellman,0.183780,0
yorktown,5,3,bellman,0.024770,0
yorktown,5,4,bellman,0.030340,0
yorktown,5,5,bellman,0.055960,0
yorktown,5,6,bellman,0.061220,0
yorktown,5,7,bellman,0.183720,0
athens,0,3,bellman,0.025060,0
athens,0,4,bellman,0.026530,0
athens,0,5,bellman,0.052570,0
athens,0,6,bellman,0.057270,0
athens,0,7,bellman,0.176300,0
athens,1,3,bellman,0.023870,0
athens,1,4,bellman,0.027810,0
athens,1,5,bellman,0.054420,0
athens,1,6,bellman,0.059030,0
athens,1,7,bellman,0.179800,0
athens,2,3,bellman,0.024660,0
athens,2,4,bellman,0.082710,0
athens,2,5,bellman,0.055830,0
athens,2,6,bellman,0.245320,0
athens,2,7,bellman,0.183750,0
perfect_hardware,0,3,bellman,0.001660,0
perfect_hardware,0,4,bellman,0.001870,0
perfect_hardware,0,5,bellman,0.002040,0
perfect_hardware,0,6,bellman,0.002240,0
perfect_hardware,0,7,bellman,0.002380,0
melbourne,0,3,bellman,0.031650,0
melbourne,0,4,bellman,0.106730,0
melbourne,0,5,bellman,0.065140,0
melbourne,0,6,bellman,0.306760,0
melbourne,0,7,bellman,0.201150,0
melbourne,1,3,bellman,0.029070,0
melbourne,1,4,bellman,0.034700,0
melbourne,1,5,bellman,0.061980,0
melbourne,1,6,bellman,0.068090,0
melbourne,1,7,bellman,0.195930,0
rochester,0,3,bellman,0.044320,0
rochester,0,4,bellman,0.053480,0
rochester,0,5,bellman,0.084130,0
rochester,0,6,bellman,0.094210,0
rochester,0,7,bellman,0.250850,0
rochester,1,3,bellman,0.063920,0
rochester,1,4,bellman,0.076440,0
rochester,1,5,bellman,0.108970,0
rochester,1,6,bellman,0.124550,0
rochester,1,7,bellman,0.298530,0
vigo,0,3,bellman,0.026100,0
vigo,0,4,bellman,0.036730,0
vigo,0,5,bellman,0.056830,0
vigo,0,6,bellman,0.104260,0
vigo,0,7,bellman,0.185330,0
vigo,1,3,bellman,0.024460,0
vigo,1,4,bellman,0.028630,0
vigo,1,5,bellman,0.055500,0
vigo,1,6,bellman,0.060280,0
vigo,1,7,bellman,0.183700,0
vigo,2,3,bellman,0.024950,0
vigo,2,4,bellman,0.035860,0
vigo,2,5,bellman,0.058520,0
vigo,2,6,bellman,0.107540,0
vigo,2,7,bellman,0.190590,0
belem,0,3,bellman,0.024370,0
belem,0,4,bellman,0.036140,0
belem,0,5,bellman,0.055840,0
belem,0,6,bellman,0.100940,0
belem,0,7,bellman,0.185860,0
belem,1,3,bellman,0.023490,0
belem,1,4,bellman,0.034320,0
belem,1,5,bellman,0.053470,0
belem,1,6,bellman,0.099910,0
belem,1,7,bellman,0.180110,0
belem,2,3,bellman,0.025830,0
belem,2,4,bellman,0.030150,0
belem,2,5,bellman,0.056070,0
belem,2,6,bellman,0.060750,0
belem,2,7,bellman,0.183960,0
brooklyn,0,3,bellman,0.048170,0
brooklyn,0,4,bellman,0.061240,0
brooklyn,0,5,bellman,0.089570,0
brooklyn,0,6,bellman,0.161490,0
brooklyn,0,7,bellman,0.256480,0
brooklyn,1,3,bellman,0.048330,0
brooklyn,1,4,bellman,0.057180,0
brooklyn,1,5,bellman,0.088380,0
brooklyn,1,6,bellman,0.100300,0
brooklyn,1,7,bellman,0.249740,0
brooklyn,2,3,bellman,0.060940,0
brooklyn,2,4,bellman,0.075490,0
brooklyn,2,5,bellman,0.106580,0
brooklyn,2,6,bellman,0.173850,0
brooklyn,2,7,bellman,0.285470,0
guadalupe,0,3,bellman,0.034550,0
guadalupe,0,4,bellman,0.040580,0
guadalupe,0,5,bellman,0.069050,0
guadalupe,0,6,bellman,0.076420,0
guadalupe,0,7,bellman,0.211720,0
guadalupe,1,3,bellman,0.033810,0
guadalupe,1,4,bellman,0.040030,0
guadalupe,1,5,bellman,0.067340,0
guadalupe,1,6,bellman,0.074600,0
guadalupe,1,7,bellman,0.214560,0
guadalupe,2,3,bellman,0.038900,0
guadalupe,2,4,bellman,0.045120,0
guadalupe,2,5,bellman,0.076900,0
guadalupe,2,6,bellman,0.090970,0
guadalupe,2,7,bellman,0.222160,0
almaden,0,3,bellman,0.033190,0
almaden,0,4,bellman,0.039220,0
almaden,0,5,bellman,0.067090,0
almaden,0,6,bellman,0.074640,0
almaden,0,7,bellman,0.217930,0
almaden,1,3,bellman,0.031310,0
almaden,1,4,bellman,0.102220,0
almaden,1,5,bellman,0.063280,0
almaden,1,6,bellman,0.296270,0
almaden,1,7,bellman,0.200280,0
almaden,2,3,bellman,0.034600,0
almaden,2,4,bellman,0.042610,0
almaden,2,5,bellman,0.070280,0
almaden,2,6,bellman,0.078000,0
almaden,2,7,bellman,0.215540,0
manhattan,0,3,bellman,0.081700,0
manhattan,0,4,bellman,0.096370,0
manhattan,0,5,bellman,0.137740,0
manhattan,0,6,bellman,0.211520,0
manhattan,0,7,bellman,0.366680,0
manhattan,1,3,bellman,0.078930,0
manhattan,1,4,bellman,0.096850,0
manhattan,1,5,bellman,0.139070,0
manhattan,1,6,bellman,0.153100,0
manhattan,1,7,bellman,0.357390,0
manhattan,2,3,bellman,0.085850,0
manhattan,2,4,bellman,0.106120,0
manhattan,2,5,bellman,0.148170,0
manhattan,2,6,bellman,0.219830,0
manhattan,2,7,bellman,0.377520,0
valencia,0,3,bellman,0.023710,0
valencia,0,4,bellman,0.077310,0
valencia,0,5,bellman,0.053990,0
valencia,0,6,bellman,0.265840,0
valencia,0,7,bellman,0.224330,0
valencia,1,3,bellman,0.029430,0
valencia,1,4,bellman,0.089920,0
valencia,1,5,bellman,0.060990,0
valencia,1,6,bellman,0.303720,0
valencia,1,7,bellman,0.185880,0
valencia,2,3,bellman,0.025510,0
valencia,2,4,bellman,0.082690,0
valencia,2,5,bellman,0.056300,0
valencia,2,6,bellman,0.260830,0
valencia,2,7,bellman,0.209270,0
boeblingen,0,3,bellman,0.035070,0
boeblingen,0,4,bellman,0.109330,0
boeblingen,0,5,bellman,0.068020,0
boeblingen,0,6,bellman,0.316710,0
boeblingen,0,7,bellman,0.204570,0
boeblingen,1,3,bellman,0.033140,0
boeblingen,1,4,bellman,0.045130,0
boeblingen,1,5,bellman,0.067400,0
boeblingen,1,6,bellman,0.119500,0
boeblingen,1,7,bellman,0.215060,0
bogota,0,3,bellman,0.023580,0
bogota,0,4,bellman,0.027190,0
bogota,0,5,bellman,0.054430,0
bogota,0,6,bellman,0.059400,0
bogota,0,7,bellman,0.182260,0
bogota,1,3,bellman,0.024630,0
bogota,1,4,bellman,0.080650,0
bogota,1,5,bellman,0.054270,0
bogota,1,6,bellman,0.234720,0
bogota,1,7,bellman,0.184740,0
bogota,2,3,bellman,0.025930,0
bogota,2,4,bellman,0.031030,0
bogota,2,5,bellman,0.058040,0
bogota,2,6,bellman,0.064620,0
bogota,2,7,bellman,0.185630,0
santiago,0,3,bellman,0.022690,0
santiago,0,4,bellman,0.033640,0
santiago,0,5,bellman,0.052720,0
santiago,0,6,bellman,0.098970,0
santiago,0,7,bellman,0.181530,0
santiago,1,3,bellman,0.024990,0
santiago,1,4,bellman,0.029180,0
santiago,1,5,bellman,0.055460,0
santiago,1,6,bellman,0.060400,0
santiago,1,7,bellman,0.184730,0
santiago,2,3,bellman,0.025440,0
santiago,2,4,bellman,0.083600,0
santiago,2,5,bellman,0.056100,0
santiago,2,6,bellman,0.246460,0
santiago,2,7,bellman,0.186580,0
singapore,0,3,bellman,0.037190,0
singapore,0,4,bellman,0.044900,0
singapore,0,5,bellman,0.074240,0
singapore,0,6,bellman,0.082380,0
singapore,0,7,bellman,0.223690,0
singapore,1,3,bellman,0.034530,0
singapore,1,4,bellman,0.046490,0
singapore,1,5,bellman,0.069720,0
singapore,1,6,bellman,0.121260,0
singapore,1,7,bellman,0.213890,0
singapore,2,3,bellman,0.041170,0
singapore,2,4,bellman,0.050690,0
singapore,2,5,bellman,0.082550,0
singapore,2,6,bellman,0.089810,0
singapore,2,7,bellman,0.234340,0
johannesburg,0,3,bellman,0.033630,0
johannesburg,0,4,bellman,0.039810,0
johannesburg,0,5,bellman,0.068140,0
johannesburg,0,6,bellman,0.075130,0
johannesburg,0,7,bellman,0.213550,0
johannesburg,1,3,bellman,0.032840,0
johannesburg,1,4,bellman,0.044580,0
johannesburg,1,5,bellman,0.068650,0
johannesburg,1,6,bellman,0.121180,0
johannesburg,1,7,bellman,0.213080,0
johannesburg,2,3,bellman,0.040000,0
johannesburg,2,4,bellman,0.048270,0
johannesburg,2,5,bellman,0.079240,0
johannesburg,2,6,bellman,0.088610,0
johannesburg,2,7,bellman,0.234700,0
rome,0,3,bellman,0.022920,0
rome,0,4,bellman,0.026630,0
rome,0,5,bellman,0.054920,0
rome,0,6,bellman,0.058840,0
rome,0,7,bellman,0.206260,0
rome,1,3,bellman,0.026840,0
rome,1,4,bellman,0.079310,0
rome,1,5,bellman,0.055090,0
rome,1,6,bellman,0.308880,0
rome,1,7,bellman,0.197950,0
rome,2,3,bellman,0.026400,0
rome,2,4,bellman,0.030720,0
rome,2,5,bellman,0.059120,0
rome,2,6,bellman,0.064820,0
rome,2,7,bellman,0.184920,0
burlington,0,3,bellman,0.023790,0
burlington,0,4,bellman,0.027790,0
burlington,0,5,bellman,0.054200,0
burlington,0,6,bellman,0.060720,0
burlington,0,7,bellman,0.183670,0
burlington,1,3,bellman,0.024230,0
burlington,1,4,bellman,0.028340,0
burlington,1,5,bellman,0.055300,0
burlington,1,6,bellman,0.061000,0
burlington,1,7,bellman,0.185340,0
burlington,2,3,bellman,0.025450,0
burlington,2,4,bellman,0.082950,0
burlington,2,5,bellman,0.057710,0
burlington,2,6,bellman,0.246010,0
burlington,2,7,bellman,0.188320,0
poughkeepsie,0,3,bellman,0.034090,0
poughkeepsie,0,4,bellman,0.114210,0
poughkeepsie,0,5,bellman,0.068720,0
poughkeepsie,0,6,bellman,0.326050,0
poughkeepsie,0,7,bellman,0.212330,0
poughkeepsie,1,3,bellman,0.032830,0
poughkeepsie,1,4,bellman,0.039150,0
poughkeepsie,1,5,bellman,0.069170,0
poughkeepsie,1,6,bellman,0.075880,0
poughkeepsie,1,7,bellman,0.209820,0
poughkeepsie,2,3,bellman,0.040000,0
poughkeepsie,2,4,bellman,0.053000,0
poughkeepsie,2,5,bellman,0.079580,0
poughkeepsie,2,6,bellman,0.133070,0
poughkeepsie,2,7,bellman,0.234640,0
kolkata,0,3,bellman,0.036040,0
kolkata,0,4,bellman,0.047370,0
kolkata,0,5,bellman,0.071000,0
kolkata,0,6,bellman,0.122640,0
kolkata,0,7,bellman,0.214740,0
kolkata,1,3,bellman,0.049950,0
kolkata,1,4,bellman,0.060360,0
kolkata,1,5,bellman,0.092170,0
kolkata,1,6,bellman,0.103070,0
kolkata,1,7,bellman,0.259570,0
kolkata,2,3,bellman,0.049720,0
kolkata,2,4,bellman,0.060050,0
kolkata,2,5,bellman,0.092710,0
kolkata,2,6,bellman,0.102680,0
kolkata,2,7,bellman,0.260410,0
quito,0,3,bellman,0.022800,0
quito,0,4,bellman,0.073750,0
quito,0,5,bellman,0.052440,0
quito,0,6,bellman,0.221700,0
quito,0,7,bellman,0.176400,0
quito,1,3,bellman,0.023780,0
quito,1,4,bellman,0.034620,0
quito,1,5,bellman,0.054360,0
