benchmark,circuit,backend,seed,n_qubits,depth,n_ops,q_n_qubits,q_depth,q_n_ops
rigetti,tof_3,fake_kyiv,0,5,120,165,127,116,175
rigetti,tof_3,fake_kyiv,0,5,120,165,127,116,175
rigetti,tof_3,fake_kyoto,0,5,120,165,127,116,188
rigetti,tof_3,fake_kyoto,0,5,120,165,127,111,183
rigetti,tof_3,fake_kyoto,0,5,120,165,127,111,183
rigetti,tof_3,fake_lagos,0,5,120,165,7,399,474
rigetti,tof_3,fake_lagos,0,5,120,165,7,63,82
rigetti,tof_3,fake_lagos,0,5,120,165,7,99,138
rigetti,tof_3,fake_lagos,0,5,120,165,7,99,138
rigetti,tof_3,fake_lima,0,5,120,165,5,399,465
rigetti,tof_3,fake_lima,0,5,120,165,5,65,77
rigetti,tof_3,fake_lima,0,5,120,165,5,89,122
rigetti,tof_3,fake_lima,0,5,120,165,5,89,122
rigetti,tof_3,fake_london,0,5,120,165,5,195,225
rigetti,tof_3,fake_london,0,5,120,165,5,51,57
rigetti,tof_3,fake_london,0,5,120,165,5,47,62
rigetti,tof_3,fake_london,0,5,120,165,5,47,62
rigetti,tof_3,fake_manhattan,0,5,120,165,65,378,471
rigetti,tof_3,fake_manhattan,0,5,120,165,65,63,82
rigetti,tof_3,fake_manhattan,0,5,120,165,65,99,140
rigetti,tof_3,fake_manhattan,0,5,120,165,65,99,140
rigetti,tof_3,fake_manila,0,5,120,165,5,378,471
rigetti,tof_3,fake_manila,0,5,120,165,5,63,82
rigetti,tof_3,fake_manila,0,5,120,165,5,99,143
rigetti,tof_3,fake_manila,0,5,120,165,5,99,143
rigetti,tof_3,fake_melbourne,0,5,120,165,15,378,471
rigetti,tof_3,fake_melbourne,0,5,120,165,15,57,75
rigetti,tof_3,fake_melbourne,0,5,120,165,15,90,141
rigetti,tof_3,fake_melbourne,0,5,120,165,15,90,141
rigetti,tof_3,fake_marrakesh,0,5,120,165,156,312,423
rigetti,tof_3,fake_marrakesh,0,5,120,165,156,122,148
rigetti,tof_3,fake_marrakesh,0,5,120,165,156,100,140
rigetti,tof_3,fake_marrakesh,0,5,120,165,156,100,140
rigetti,tof_3,fake_montreal,0,5,120,165,27,409,462
rigetti,tof_3,fake_montreal,0,5,120,165,27,63,82
rigetti,tof_3,fake_montreal,0,5,120,165,27,86,136
rigetti,tof_3,fake_montreal,0,5,120,165,27,86,136
rigetti,tof_3,fake_mumbai,0,5,120,165,27,409,462
rigetti,tof_3,fake_mumbai,0,5,120,165,27,63,82
rigetti,tof_3,fake_mumbai,0,5,120,165,27,97,140
rigetti,tof_3,fake_mumbai,0,5,120,165,27,97,140
rigetti,tof_3,fake_nairobi,0,5,120,165,7,399,474
rigetti,tof_3,fake_nairobi,0,5,120,165,7,63,82
rigetti,tof_3,fake_nairobi,0,5,120,165,7,85,131
rigetti,tof_3,fake_nairobi,0,5,120,165,7,85,131
rigetti,tof_3,fake_nighthawk,0,5,120,165,120,312,423
rigetti,tof_3,fake_nighthawk,0,5,120,165,120,100,139
rigetti,tof_3,fake_nighthawk,0,5,120,165,120,70,116
rigetti,tof_3,fake_nighthawk,0,5,120,165,120,70,116
rigetti,tof_3,fake_osaka,0,5,120,165,127,116,188
rigetti,tof_3,fake_osaka,0,5,120,165,127,114,183
rigetti,tof_3,fake_osaka,0,5,120,165,127,114,183
rigetti,tof_3,fake_oslo,0,5,120,165,7,399,474
rigetti,tof_3,fake_oslo,0,5,120,165,7,63,82
rigetti,tof_3,fake_oslo,0,5,120,165,7,88,137
rigetti,tof_3,fake_oslo,0,5,120,165,7,88,137
rigetti,tof_3,fake_ourense,0,5,120,165,5,399,465
rigetti,tof_3,fake_ourense,0,5,120,165,5,65,77
rigetti,tof_3,fake_ourense,0,5,120,165,5,82,122
rigetti,tof_3,fake_ourense,0,5,120,165,5,82,122
rigetti,tof_3,fake_paris,0,5,120,165,27,409,462
rigetti,tof_3,fake_paris,0,5,120,165,27,63,82
rigetti,tof_3,fake_paris,0,5,120,165,27,88,132
rigetti,tof_3,fake_paris,0,5,120,165,27,88,132
rigetti,tof_3,fake_peekskill,0,5,120,165,27,116,188
rigetti,tof_3,fake_peekskill,0,5,120,165,27,111,196
rigetti,tof_3,fake_peekskill,0,5,120,165,27,111,196
rigetti,tof_3,fake_perth,0,5,120,165,7,399,474
rigetti,tof_3,fake_perth,0,5,120,165,7,63,82
rigetti,tof_3,fake_perth,0,5,120,165,7,100,138
rigetti,tof_3,fake_perth,0,5,120,165,7,100,138
rigetti,tof_3,fake_prague,0,5,120,165,33,331,396
rigetti,tof_3,fake_prague,0,5,120,165,33,112,144
rigetti,tof_3,fake_prague,0,5,120,165,33,89,130
rigetti,tof_3,fake_prague,0,5,120,165,33,89,130
rigetti,tof_3,fake_poughkeepsie,0,5,120,165,20,184,231
rigetti,tof_3,fake_poughkeepsie,0,5,120,165,20,47,58
rigetti,tof_3,fake_poughkeepsie,0,5,120,165,20,44,60
rigetti,tof_3,fake_poughkeepsie,0,5,120,165,20,44,60
rigetti,tof_3,fake_quebec,0,5,120,165,127,115,187
rigetti,tof_3,fake_quebec,0,5,120,165,127,111,195
rigetti,tof_3,fake_quebec,0,5,120,165,127,111,195
rigetti,tof_3,fake_quito,0,5,120,165,5,399,465
rigetti,tof_3,fake_quito,0,5,120,165,5,65,77
rigetti,tof_3,fake_quito,0,5,120,165,5,93,128
rigetti,tof_3,fake_quito,0,5,120,165,5,93,128
rigetti,tof_3,fake_rochester,0,5,120,165,53,184,231
rigetti,tof_3,fake_rochester,0,5,120,165,53,50,54
rigetti,tof_3,fake_rochester,0,5,120,165,53,46,58
rigetti,tof_3,fake_rochester,0,5,120,165,53,46,58
rigetti,tof_3,fake_rome,0,5,120,165,5,378,471
rigetti,tof_3,fake_rome,0,5,120,165,5,63,82
rigetti,tof_3,fake_rome,0,5,120,165,5,89,140
rigetti,tof_3,fake_rome,0,5,120,165,5,89,140
rigetti,tof_3,fake_santiago,0,5,120,165,5,378,471
rigetti,tof_3,fake_santiago,0,5,120,165,5,63,82
rigetti,tof_3,fake_santiago,0,5,120,165,5,100,140
rigetti,tof_3,fake_santiago,0,5,120,165,5,100,140
rigetti,tof_3,fake_sherbrooke,0,5,120,165,127,108,177
rigetti,tof_3,fake_sherbrooke,0,5,120,165,127,112,181
rigetti,tof_3,fake_sherbrooke,0,5,120,165,127,112,181
rigetti,tof_3,fake_singapore,0,5,120,165,20,184,231
rigetti,tof_3,fake_singapore,0,5,120,165,20,47,58
rigetti,tof_3,fake_singapore,0,5,120,165,20,44,60
rigetti,tof_3,fake_singapore,0,5,120,165,20,44,60
rigetti,tof_3,fake_sydney,0,5,120,165,27,409,462
rigetti,tof_3,fake_sydney,0,5,120,165,27,63,82
rigetti,tof_3,fake_sydney,0,5,120,165,27,88,132
rigetti,tof_3,fake_sydney,0,5,120,165,27,88,132
rigetti,tof_3,fake_torino,0,5,120,165,133,312,423
rigetti,tof_3,fake_torino,0,5,120,165,133,112,144
rigetti,tof_3,fake_torino,0,5,120,165,133,89,122
rigetti,tof_3,fake_torino,0,5,120,165,133,89,122
rigetti,tof_3,fake_toronto,0,5,120,165,27,409,462
rigetti,tof_3,fake_toronto,0,5,120,165,27,63,82
rigetti,tof_3,fake_toronto,0,5,120,165,27,86,135
rigetti,tof_3,fake_toronto,0,5,120,165,27,86,135
rigetti,tof_3,fake_valencia,0,5,120,165,5,399,465
rigetti,tof_3,fake_valencia,0,5,120,165,5,65,77
rigetti,tof_3,fake_valencia,0,5,120,165,5,95,130
rigetti,tof_3,fake_valencia,0,5,120,165,5,95,130
rigetti,tof_3,fake_vigo,0,5,120,165,5,399,465
rigetti,tof_3,fake_vigo,0,5,120,165,5,65,77
rigetti,tof_3,fake_vigo,0,5,120,165,5,82,123
rigetti,tof_3,fake_vigo,0,5,120,165,5,82,123
rigetti,tof_3,fake_washington,0,5,120,165,127,378,471
rigetti,tof_3,fake_washington,0,5,120,165,127,63,82
rigetti,tof_3,fake_washington,0,5,120,165,127,87,139
rigetti,tof_3,fake_washington,0,5,120,165,127,87,139
rigetti,tof_3,fake_yorktown,0,5,120,165,5,324,444
rigetti,tof_3,fake_yorktown,0,5,120,165,5,37,53
rigetti,tof_3,fake_yorktown,0,5,120,165,5,71,103
rigetti,tof_3,fake_yorktown,0,5,120,165,5,71,103
