hardware,embedding_index,method,horizon,algorithm_index,baseline_index,algorithm_prob,baseline_prob,diff
guadalupe,0,convex,3,99,284,0.731470,0.719570,0.011900
guadalupe,1,convex,1,100,280,0.664290,0.659600,0.004690
guadalupe,1,convex,2,101,283,0.666640,0.659600,0.007040
guadalupe,1,convex,3,102,284,0.747180,0.744580,0.002600
hanoi,0,convex,1,18,280,0.665440,0.663000,0.002440
hanoi,0,convex,2,19,283,0.666660,0.663000,0.003660
hanoi,0,convex,3,20,284,0.748550,0.747160,0.001390
hanoi,1,convex,1,103,280,0.646820,0.610470,0.036350
hanoi,1,convex,2,104,283,0.664790,0.610470,0.054320
hanoi,1,convex,3,105,284,0.722700,0.707770,0.014930
jakarta,0,convex,1,106,280,0.663070,0.656000,0.007070
jakarta,0,convex,2,107,283,0.666610,0.656000,0.010610
jakarta,0,convex,3,108,284,0.745680,0.741860,0.003820
jakarta,1,convex,1,3,280,0.653860,0.629670,0.024190
jakarta,1,convex,2,109,283,0.665900,0.629670,0.036230
jakarta,1,convex,3,110,284,0.733250,0.722130,0.011120
johannesburg,0,convex,1,111,280,0.662730,0.655000,0.007730
johannesburg,0,convex,2,112,283,0.666600,0.655000,0.011600
johannesburg,0,convex,3,113,284,0.745090,0.740780,0.004310
johannesburg,1,convex,1,114,280,0.623300,0.551530,0.071770
johannesburg,1,convex,2,115,283,0.657120,0.551530,0.105590
johannesburg,1,convex,3,116,284,0.683930,0.663370,0.020560
kawasaki,0,convex,1,117,280,0.665910,0.664390,0.001520
kawasaki,0,convex,2,118,283,0.666660,0.664390,0.002270
kawasaki,0,convex,3,119,284,0.749050,0.748130,0.000920
kawasaki,1,convex,1,120,280,0.573600,0.448400,0.125200
kawasaki,1,convex,2,121,283,0.586300,0.448400,0.137900
kawasaki,1,convex,3,122,284,0.606010,0.586260,0.019750
kolkata,0,convex,1,123,280,0.656050,0.635800,0.020250
kolkata,0,convex,2,124,283,0.666140,0.635800,0.030340
kolkata,0,convex,3,125,284,0.735970,0.725990,0.009980
kolkata,1,convex,1,0,280,0.665570,0.663400,0.002170
kolkata,1,convex,2,126,283,0.666660,0.663400,0.003260
kolkata,1,convex,3,2,284,0.748720,0.747480,0.001240
kyiv,0,convex,1,127,280,0.666290,0.665530,0.000760
kyiv,0,convex,2,128,283,0.666670,0.665530,0.001140
kyiv,0,convex,3,129,284,0.749510,0.749030,0.000480
kyiv,1,convex,1,130,280,0.501580,0.335450,0.166130
kyiv,1,convex,2,131,283,0.501590,0.335450,0.166140
kyiv,1,convex,3,132,284,0.502370,0.501590,0.000780
kyoto,0,convex,1,133,280,0.665710,0.663800,0.001910
kyoto,0,convex,2,134,283,0.666660,0.663800,0.002860
kyoto,0,convex,3,135,284,0.748870,0.747780,0.001090
kyoto,1,convex,1,136,280,0.536820,0.386330,0.150490
kyoto,1,convex,2,137,283,0.539750,0.386330,0.153420
kyoto,1,convex,3,138,284,0.554770,0.539700,0.015070
lagos,0,convex,1,139,280,0.517470,0.357470,0.160000
lagos,0,convex,2,140,283,0.518100,0.357470,0.160630
lagos,0,convex,3,141,284,0.526160,0.518090,0.008070
lagos,1,convex,1,142,280,0.662910,0.655530,0.007380
lagos,1,convex,2,143,283,0.666600,0.655530,0.011070
lagos,1,convex,3,144,284,0.745480,0.741510,0.003970
lima,0,convex,1,142,280,0.662940,0.655600,0.007340
lima,0,convex,2,145,283,0.666600,0.655600,0.011000
lima,0,convex,3,146,284,0.745540,0.741610,0.003930
lima,1,convex,1,147,280,0.653380,0.628330,0.025050
lima,1,convex,2,148,283,0.665840,0.628330,0.037510
lima,1,convex,3,149,284,0.732460,0.720950,0.011510
london,0,convex,1,150,280,0.625470,0.556670,0.068800
london,0,convex,2,151,283,0.658100,0.556670,0.101430
london,0,convex,3,152,284,0.687700,0.667370,0.020330
london,1,convex,1,142,280,0.662920,0.655560,0.007360
london,1,convex,2,143,283,0.666600,0.655560,0.011040
london,1,convex,3,144,284,0.745460,0.741460,0.004000
makarresh,0,convex,1,153,280,0.666070,0.664880,0.001190
makarresh,0,convex,2,154,283,0.666670,0.664880,0.001790
makarresh,0,convex,3,155,284,0.749180,0.748370,0.000810
makarresh,1,convex,1,156,280,0.512730,0.350750,0.161980
makarresh,1,convex,2,157,283,0.513060,0.350750,0.162310
makarresh,1,convex,3,158,284,0.519080,0.512740,0.006340
melbourne,0,convex,1,159,280,0.660670,0.649000,0.011670
melbourne,0,convex,2,160,283,0.666500,0.649000,0.017500
melbourne,0,convex,3,161,284,0.742600,0.736550,0.006050
melbourne,1,convex,1,162,280,0.619310,0.542270,0.077040
melbourne,1,convex,2,163,283,0.655170,0.542270,0.112900
melbourne,1,convex,3,164,284,0.677020,0.656180,0.020840
manhattan,0,convex,1,165,280,0.543920,0.397530,0.146390
manhattan,0,convex,2,166,283,0.548150,0.397530,0.150620
manhattan,0,convex,3,167,284,0.565070,0.548070,0.017000
