hardware,embedding_index,horizon,method,time,result
algiers,0,1,convex,0.039900,1
algiers,0,2,convex,0.005210,1
algiers,0,3,convex,0.009830,1
algiers,1,1,convex,0.002650,1
algiers,1,2,convex,0.005390,1
algiers,1,3,convex,0.013260,1
almaden,0,1,convex,0.002200,1
almaden,0,2,convex,0.003640,1
almaden,0,3,convex,0.008060,1
almaden,1,1,convex,0.002250,1
almaden,1,2,convex,0.005580,1
almaden,1,3,convex,0.008490,1
athens,0,1,convex,0.002160,1
athens,0,2,convex,0.003890,1
athens,0,3,convex,0.009240,1
athens,1,1,convex,0.002170,1
athens,1,2,convex,0.004010,1
athens,1,3,convex,0.008810,1
auckland,0,1,convex,0.002200,1
auckland,0,2,convex,0.004600,1
auckland,0,3,convex,0.010360,1
auckland,1,1,convex,0.002360,1
auckland,1,2,convex,0.005070,1
auckland,1,3,convex,0.012250,1
belem,0,1,convex,0.002020,1
belem,0,2,convex,0.003760,1
belem,0,3,convex,0.008610,1
belem,1,1,convex,0.002050,1
belem,1,2,convex,0.003910,1
belem,1,3,convex,0.009130,1
boeblingen,0,1,convex,0.002200,1
boeblingen,0,2,convex,0.003860,1
boeblingen,0,3,convex,0.008610,1
boeblingen,1,1,convex,0.002250,1
boeblingen,1,2,convex,0.006040,1
boeblingen,1,3,convex,0.008880,1
bogota,0,1,convex,0.001980,1
bogota,0,2,convex,0.003760,1
bogota,0,3,convex,0.009020,1
bogota,1,1,convex,0.002030,1
bogota,1,2,convex,0.004030,1
bogota,1,3,convex,0.009000,1
brisbane,0,1,convex,0.003460,1
brisbane,0,2,convex,0.016460,1
brisbane,0,3,convex,0.030070,1
brisbane,1,1,convex,0.003560,1
brisbane,1,2,convex,0.009740,1
brisbane,1,3,convex,0.025880,1
brooklyn,0,1,convex,0.002420,1
brooklyn,0,2,convex,0.004880,1
brooklyn,0,3,convex,0.011700,1
brooklyn,1,1,convex,0.002590,1
brooklyn,1,2,convex,0.005580,1
brooklyn,1,3,convex,0.013690,1
burlington,0,1,convex,0.002000,1
burlington,0,2,convex,0.003330,1
burlington,0,3,convex,0.007270,1
burlington,1,1,convex,0.001980,1
burlington,1,2,convex,0.003290,1
burlington,1,3,convex,0.007300,1
cairo,0,1,convex,0.002050,1
cairo,0,2,convex,0.003810,1
cairo,0,3,convex,0.008500,1
cairo,1,1,convex,0.002240,1
cairo,1,2,convex,0.004730,1
cairo,1,3,convex,0.011470,1
cambridge,0,1,convex,0.002330,1
cambridge,0,2,convex,0.004060,1
cambridge,0,3,convex,0.009250,1
cambridge,1,1,convex,0.002360,1
cambridge,1,2,convex,0.003660,1
cambridge,1,3,convex,0.011310,1
casablanca,0,1,convex,0.001990,1
casablanca,0,2,convex,0.003710,1
casablanca,0,3,convex,0.008540,1
casablanca,1,1,convex,0.002050,1
casablanca,1,2,convex,0.004100,1
casablanca,1,3,convex,0.010990,1
cusco,0,1,convex,0.002570,1
cusco,0,2,convex,0.004190,1
cusco,0,3,convex,0.009080,1
cusco,1,1,convex,0.008210,1
cusco,1,2,convex,0.010590,1
cusco,1,3,convex,0.041800,1
essex,0,1,convex,0.002030,1
essex,0,2,convex,0.003340,1
essex,0,3,convex,0.007270,1
essex,1,1,convex,0.001970,1
essex,1,2,convex,0.003330,1
essex,1,3,convex,0.007410,1
fez,0,1,convex,0.002550,1
fez,0,2,convex,0.004440,1
fez,0,3,convex,0.009570,1
fez,1,1,convex,0.003800,1
fez,1,2,convex,0.010060,1
fez,1,3,convex,0.026290,1
geneva,0,1,convex,0.002240,1
geneva,0,2,convex,0.004770,1
geneva,0,3,convex,0.011110,1
geneva,1,1,convex,0.002320,1
geneva,1,2,convex,0.004690,1
geneva,1,3,convex,0.011570,1
guadalupe,0,1,convex,0.002210,1
guadalupe,0,2,convex,0.004170,1
guadalupe,0,3,convex,0.009970,1
guadalupe,1,1,convex,0.002500,1
guadalupe,1,2,convex,0.004940,1
guadalupe,1,3,convex,0.011010,1
hanoi,0,1,convex,0.002530,1
hanoi,0,2,convex,0.004880,1
hanoi,0,3,convex,0.011690,1
hanoi,1,1,convex,0.002340,1
hanoi,1,2,convex,0.004870,1
hanoi,1,3,convex,0.011870,1
jakarta,0,1,convex,0.001980,1
jakarta,0,2,convex,0.003780,1
jakarta,0,3,convex,0.008740,1
jakarta,1,1,convex,0.002070,1
jakarta,1,2,convex,0.003910,1
jakarta,1,3,convex,0.009230,1
johannesburg,0,1,convex,0.002080,1
johannesburg,0,2,convex,0.003560,1
johannesburg,0,3,convex,0.007870,1
johannesburg,1,1,convex,0.002190,1
johannesburg,1,2,convex,0.003810,1
johannesburg,1,3,convex,0.008600,1
kawasaki,0,1,convex,0.002570,1
kawasaki,0,2,convex,0.005610,1
kawasaki,0,3,convex,0.013830,1
kawasaki,1,1,convex,0.003310,1
kawasaki,1,2,convex,0.004770,1
kawasaki,1,3,convex,0.031640,1
kolkata,0,1,convex,0.002200,1
kolkata,0,2,convex,0.003110,1
kolkata,0,3,convex,0.006840,1
kolkata,1,1,convex,0.002360,1
kolkata,1,2,convex,0.005080,1
kolkata,1,3,convex,0.012360,1
kyiv,0,1,convex,0.003450,1
kyiv,0,2,convex,0.009300,1
kyiv,0,3,convex,0.024600,1
kyiv,1,1,convex,0.003630,1
kyiv,1,2,convex,0.005160,1
kyiv,1,3,convex,0.035300,1
kyoto,0,1,convex,0.002720,1
kyoto,0,2,convex,0.006210,1
kyoto,0,3,convex,0.015290,1
kyoto,1,1,convex,0.003450,1
kyoto,1,2,convex,0.004950,1
kyoto,1,3,convex,0.032520,1
lagos,0,1,convex,0.002020,1
lagos,0,2,convex,0.003340,1
lagos,0,3,convex,0.010320,1
lagos,1,1,convex,0.001990,1
lagos,1,2,convex,0.003830,1
lagos,1,3,convex,0.008940,1
lima,0,1,convex,0.002010,1
lima,0,2,convex,0.003770,1
lima,0,3,convex,0.008740,1
lima,1,1,convex,0.001990,1
lima,1,2,convex,0.003870,1
lima,1,3,convex,0.009050,1
london,0,1,convex,0.001960,1
london,0,2,convex,0.003340,1
london,0,3,convex,0.007390,1
london,1,1,convex,0.001980,1
london,1,2,convex,0.003360,1
london,1,3,convex,0.007400,1
makarresh,0,1,convex,0.002960,1
makarresh,0,2,convex,0.006090,1
makarresh,0,3,convex,0.014770,1
makarresh,1,1,convex,0.003920,1
makarresh,1,2,convex,0.005300,1
makarresh,1,3,convex,0.035420,1
melbourne,0,1,convex,0.002080,1
melbourne,0,2,convex,0.003750,1
melbourne,0,3,convex,0.008630,1
melbourne,1,1,convex,0.002140,1
melbourne,1,2,convex,0.004030,1
melbourne,1,3,convex,0.009470,1
manhattan,0,1,convex,0.002840,1
manhattan,0,2,convex,0.004220,1
manhattan,0,3,convex,0.021610,1
manhattan,1,1,convex,0.002910,1
manhattan,1,2,convex,0.006800,1
manhattan,1,3,convex,0.017300,1
manila,0,1,convex,0.001990,1
manila,0,2,convex,0.003740,1
manila,0,3,convex,0.008700,1
manila,1,1,convex,0.001980,1
manila,1,2,convex,0.003780,1
manila,1,3,convex,0.008950,1
montreal,0,1,convex,0.002180,1
montreal,0,2,convex,0.004390,1
montreal,0,3,convex,0.010550,1
montreal,1,1,convex,0.002300,1
montreal,1,2,convex,0.004950,1
montreal,1,3,convex,0.012070,1
mumbai,0,1,convex,0.002080,1
mumbai,0,2,convex,0.004050,1
mumbai,0,3,convex,0.009450,1
mumbai,1,1,convex,0.002190,1
mumbai,1,2,convex,0.004430,1
mumbai,1,3,convex,0.010690,1
nairobi,0,1,convex,0.001980,1
nairobi,0,2,convex,0.002870,1
nairobi,0,3,convex,0.006090,1
nairobi,1,1,convex,0.001980,1
nairobi,1,2,convex,0.003840,1
nairobi,1,3,convex,0.009050,1
osaka,0,1,convex,0.002330,1
osaka,0,2,convex,0.003660,1
osaka,0,3,convex,0.013600,1
osaka,1,1,convex,0.002480,1
osaka,1,2,convex,0.005260,1
osaka,1,3,convex,0.012620,1
oslo,0,1,convex,0.002040,1
oslo,0,2,convex,0.003800,1
oslo,0,3,convex,0.008740,1
oslo,1,1,convex,0.002050,1
oslo,1,2,convex,0.003970,1
oslo,1,3,convex,0.009420,1
ourense,0,1,convex,0.001960,1
ourense,0,2,convex,0.003650,1
ourense,0,3,convex,0.008540,1
ourense,1,1,convex,0.001990,1
ourense,1,2,convex,0.003850,1
ourense,1,3,convex,0.009090,1
paris,0,1,convex,0.002110,1
paris,0,2,convex,0.006340,1
paris,0,3,convex,0.009330,1
paris,1,1,convex,0.002330,1
paris,1,2,convex,0.005060,1
paris,1,3,convex,0.012530,1
perth,0,1,convex,0.002040,1
perth,0,2,convex,0.003930,1
perth,0,3,convex,0.009210,1
perth,1,1,convex,0.002040,1
perth,1,2,convex,0.003940,1
perth,1,3,convex,0.009440,1
poughkeepsie,0,1,convex,0.002090,1
poughkeepsie,0,2,convex,0.003550,1
poughkeepsie,0,3,convex,0.007910,1
poughkeepsie,1,1,convex,0.002210,1
poughkeepsie,1,2,convex,0.003780,1
poughkeepsie,1,3,convex,0.008590,1
prague,0,1,convex,0.002270,1
prague,0,2,convex,0.004710,1
prague,0,3,convex,0.011320,1
prague,1,1,convex,0.002450,1
prague,1,2,convex,0.005410,1
prague,1,3,convex,0.013490,1
quito,0,1,convex,0.001950,1
quito,0,2,convex,0.003770,1
quito,0,3,convex,0.008540,1
quito,1,1,convex,0.002000,1
quito,1,2,convex,0.003750,1
quito,1,3,convex,0.008700,1
rochester,0,1,convex,0.002380,1
rochester,0,2,convex,0.004170,1
rochester,0,3,convex,0.009200,1
rochester,1,1,convex,0.002670,1
rochester,1,2,convex,0.003900,1
rochester,1,3,convex,0.011800,1
rome,0,1,convex,0.002010,1
rome,0,2,convex,0.003680,1
rome,0,3,convex,0.008500,1
rome,1,1,convex,0.001970,1
rome,1,2,convex,0.003750,1
rome,1,3,convex,0.008840,1
santiago,0,1,convex,0.001960,1
santiago,0,2,convex,0.003730,1
santiago,0,3,convex,0.008760,1
santiago,1,1,convex,0.001980,1
santiago,1,2,convex,0.003850,1
santiago,1,3,convex,0.009000,1
singapore,0,1,convex,0.002150,1
singapore,0,2,convex,0.003680,1
singapore,0,3,convex,0.008180,1
singapore,1,1,convex,0.002210,1
singapore,1,2,convex,0.003850,1
singapore,1,3,convex,0.008650,1
sydney,0,1,convex,0.002170,1
sydney,0,2,convex,0.004450,1
sydney,0,3,convex,0.010530,1
sydney,1,1,convex,0.002220,1
sydney,1,2,convex,0.004680,1
sydney,1,3,convex,0.011250,1
torino,0,1,convex,0.003220,1
torino,0,2,convex,0.006800,1
torino,0,3,convex,0.016570,1
torino,1,1,convex,0.006690,1
torino,1,2,convex,0.009230,1
torino,1,3,convex,0.026370,1
toronto,0,1,convex,0.002230,1
toronto,0,2,convex,0.007390,1
toronto,0,3,convex,0.010860,1
toronto,1,1,convex,0.002350,1
toronto,1,2,convex,0.005040,1
toronto,1,3,convex,0.012480,1
valencia,0,1,convex,0.002000,1
